V1 V2 V3
35.01 15.2624071623304 0.1
35.01 14.4571534523789 0.14
35.01 13.7765444671019 0.18
35.01 13.1975451049624 0.22
35.01 12.6949158379011 0.26
35.01 12.2501821597605 0.3
35.01 11.8503411657835 0.34
35.01 11.4861321546698 0.38
35.01 11.1508124803817 0.42
35.01 10.8393591680368 0.46
35.01 10.5479499960324 0.5

41.509 90.6258575471015 0.1
41.509 80.3710422397184 0.14
41.509 72.715514995673 0.18
41.509 66.6299545969572 0.22
41.509 61.5919859083717 0.26
41.509 57.3010054758276 0.3
41.509 53.5689447562577 0.34
41.509 50.2707966433778 0.38
41.509 47.3195344049605 0.42
41.509 44.6523045641089 0.46
41.509 42.2223281664045 0.5

48.008 115.23911434337 0.1
48.008 102.130028531105 0.14
48.008 92.1381676136626 0.18
48.008 84.1485988267085 0.22
48.008 77.5234685347987 0.26
48.008 71.8800440635953 0.3
48.008 66.9744905109974 0.34
48.008 62.643261855363 0.38
48.008 58.7719316352482 0.42
48.008 55.2776085643653 0.46
48.008 52.0984793173339 0.5

54.507 129.330560662887 0.1
54.507 116.089574820153 0.14
54.507 105.185226752916 0.18
54.507 96.1887548541646 0.22
54.507 88.6144330421699 0.26
54.507 82.1089722952518 0.3
54.507 76.4268424666696 0.34
54.507 71.3953656835975 0.38
54.507 66.8901921664013 0.42
54.507 62.8195228614062 0.46
54.507 59.1139980681257 0.5

61.006 137.41164731144 0.1
61.006 125.557384728696 0.14
61.006 114.656086708589 0.18
61.006 105.232256098423 0.22
61.006 97.1095287145939 0.26
61.006 90.0400713623198 0.3
61.006 83.8153729270173 0.34
61.006 78.2748936291109 0.38
61.006 73.2968964453421 0.42
61.006 68.7885225016427 0.46
61.006 64.6780354310426 0.5

67.505 141.947034237333 0.1
67.505 132.085700207576 0.14
67.505 121.747633599691 0.18
67.505 112.289121483996 0.22
67.505 103.897111297846 0.26
67.505 96.4716715862206 0.3
67.505 89.8665857830054 0.34
67.505 83.9483423495342 0.38
67.505 78.6068942386789 0.42
67.505 73.7540946718306 0.46
67.505 69.3196537856952 0.5

74.004 144.437894316661 0.1
74.004 136.617405329141 0.14
74.004 127.14862353437 0.18
74.004 117.917310568319 0.22
74.004 109.454973494993 0.26
74.004 101.825606329937 0.3
74.004 94.9596925724775 0.34
74.004 88.7605348787024 0.38
74.004 83.1361674569984 0.42
74.004 78.0073755877736 0.46
74.004 73.3081718861207 0.5

80.503 145.782049960811 0.1
80.503 139.774813296947 0.14
80.503 131.308694750858 0.18
80.503 122.472458783647 0.22
80.503 114.081643752148 0.26
80.503 106.361587403128 0.3
80.503 99.325659263776 0.34
80.503 92.9198055329477 0.38
80.503 87.0744452684504 0.42
80.503 81.7223202632054 0.46
80.503 76.8038676583295 0.5

87.002 146.498129003052 0.1
87.002 141.98095055697 0.14
87.002 134.540248413014 0.18
87.002 126.199700223674 0.22
87.002 117.980420867871 0.26
87.002 110.25460512545 0.3
87.002 103.118790065767 0.34
87.002 96.564412677685 0.38
87.002 90.5469747815613 0.42
87.002 85.0132739764527 0.46
87.002 79.9117269714744 0.5

93.501 146.876386193923 0.1
93.501 143.526633014837 0.14
93.501 137.06799489185 0.18
93.501 129.276222503937 0.22
93.501 121.297510879134 0.26
93.501 113.629670596713 0.3
93.501 106.448646523227 0.34
93.501 99.7920204127475 0.38
93.501 93.6418532917279 0.42
93.501 87.9603826240941 0.46
93.501 82.7051184500029 0.5

100 147.075253440208 0.1
100 144.612726972337 0.14
100 139.057088521398 0.18
100 131.834182697454 0.22
100 124.142041422164 0.26
100 116.579795115162 0.3
100 109.396426065663 0.34
100 102.674741118787 0.38
100 96.4239178967629 0.42
100 90.6224663010244 0.46
100 85.2377588160055 0.5
