V1 V2 V3
20 133.499464876918 40
20 132.59260803318 43
20 131.809690950085 46
20 131.126943871594 49
20 130.526307346489 52
20 129.993815277328 55
20 129.518497771265 58
20 129.091618812994 61
20 128.706135352909 64
20 128.356306266074 67
20 128.03740488611 70

22 132.57261356449 40
22 131.395897291949 43
22 130.382257684814 46
22 129.500020552137 49
22 128.72520966443 52
22 128.039343564106 55
22 127.427947675736 58
22 126.879524812457 61
22 126.384827434644 64
22 125.936333321694 67
22 125.527861301713 70

24 132.056010118724 40
24 130.566587151103 43
24 129.286869305795 46
24 128.175540409753 49
24 127.201456739444 52
24 126.340700825522 55
24 125.574602311848 58
24 124.888375008266 61
24 124.270157501363 64
24 123.710324558418 67
24 123.200984209749 70

26 131.985767768401 40
26 130.136678163178 43
26 128.552573901662 46
26 127.180416257409 49
26 125.980412691347 52
26 124.922130324605 55
26 123.981900375253 58
26 123.141040018617 61
26 122.384606590454 64
26 121.700507194991 67
26 121.078850893574 70

28 132.395891596252 40
28 130.134842081706 43
28 128.204178957099 46
28 126.536623669068 49
28 125.081961556266 52
28 123.801964807659 55
28 122.667023422039 58
28 121.653850297414 61
28 120.743881580206 64
28 119.922138638203 67
28 119.176403546 70

30 133.321376680727 40
30 130.589284874708 43
30 128.264948482623 46
30 126.263777721958 49
30 124.522994406816 52
30 122.995045342616 55
30 121.64326156834 58
30 120.438919663635 61
30 119.359204643734 64
30 118.385767938926 67
30 117.503687363596 70

32 134.800863710431 40
32 131.530121937317 43
32 128.758785368041 46
32 126.381179207572 49
32 124.319357226856 52
32 122.514596692459 55
32 120.92183440772 58
32 119.505924615111 61
32 118.239060274453 64
32 117.098957388468 67
32 116.067551837741 70

34 136.87907294717 40
34 132.991463476053 43
34 129.712080729381 46
34 126.909500096194 49
34 124.487420111422 52
34 122.373712471999 55
34 120.513314410264 58
34 118.863481682974 61
34 117.390537865521 64
34 116.067598529563 67
34 114.872946255094 70

36 139.609212131157 40
36 135.0133798408 43
36 131.155382655688 46
36 127.872248450432 49
36 125.045399056258 52
36 122.586574584209 55
36 120.428772005645 58
36 118.520237771393 61
36 116.820381279295 64
36 115.296931065282 67
36 113.923915360417 70

38 143.055541229096 40
38 137.643898190787 43
38 133.125015325477 46
38 129.297129977014 49
38 126.014537870941 52
38 123.169507469544 55
38 120.680737645845 58
38 118.48576474482 61
38 116.535833480359 64
38 114.792350157995 67
38 113.224378538925 70

40 147.296279048245 40
40 140.941175019975 43
40 135.664767460159 46
40 131.217408422011 49
40 127.420241040147 52
40 124.141950018097 55
40 121.284057944033 58
40 118.771331094704 61
40 116.545345822271 64
40 114.560069185472 67
40 112.778757578182 70
