V1 V2 V3
60 106.335613986863 75
60 105.003058358148 76.5
60 103.739891147156 78
60 102.540933053043 79.5
60 101.401500046729 81
60 100.317346263184 82.5
60 99.2846145392052 84
60 98.2997934385149 85.5
60 97.3596798008511 87
60 96.4613460106572 88.5
60 95.6021113112168 90

61.5 107.322501018964 75
61.5 105.877393456829 76.5
61.5 104.508980726663 78
61.5 103.211443638541 79.5
61.5 101.979527560516 81
61.5 100.808476471921 82.5
61.5 99.6939759503518 84
61.5 98.6321037242475 85.5
61.5 97.6192866554587 87
61.5 96.6522632054662 88.5
61.5 95.7280505936241 90

63 108.464363321699 75
63 106.896792986537 76.5
63 105.414070512127 78
63 104.009648686176 79.5
63 102.677624966689 81
63 101.412665170799 82.5
63 100.209937626796 84
63 99.0650561692002 85.5
63 97.9740306348656 87
63 96.9332237440518 88.5
63 95.9393134347282 90

64.5 109.77330986812 75
64.5 108.072127830218 76.5
64.5 106.464918859366 78
64.5 104.944304770747 79.5
64.5 103.503644997682 81
64.5 102.136948083237 82.5
64.5 100.83879545801 84
64.5 99.6042755800016 85.5
64.5 98.4289268463028 87
64.5 97.3086879568547 88.5
64.5 96.2398546307668 90

66 111.263347566525 75
66 109.415959194263 76.5
66 107.672790305369 78
66 106.025510936421 79.5
66 104.466636980497 81
66 102.989427268727 82.5
66 101.587795119656 84
66 100.256232064312 85.5
66 98.9897418568276 87
66 97.7837832054357 88.5
66 96.6342199226097 90

67.5 112.950746352238 75
67.5 110.942859930905 76.5
67.5 109.050738545884 78
67.5 107.264957997729 79.5
67.5 105.577066491033 81
67.5 103.979464619819 82.5
67.5 102.465302443128 84
67.5 101.028390911076 85.5
67.5 99.6631253873293 87
67.5 98.3644194057598 88.5
67.5 97.1276471164333 90

69 114.854493169856 75
69 112.669813112137 76.5
69 110.613956564706 78
69 108.676236204352 79.5
69 106.84708570635 81
69 105.117919353917 82.5
69 103.481011905308 84
69 101.929395431497 85.5
69 100.456770426726 87
69 99.0574289682903 88.5
69 97.7261880851674 90

70.5 116.996862507233 75
70.5 114.616711729274 76.5
70.5 112.380214529544 78
70.5 110.275219071721 79.5
70.5 108.290869822666 81
70.5 106.417442755788 82.5
70.5 104.646204657833 84
70.5 102.969292579309 85.5
70.5 101.379610186825 87
70.5 99.8707383518511 88.5
70.5 98.4368577749772 90

72 119.404141509862 75
72 116.806992269689 76.5
72 114.370413673544 78
72 112.080547692212 79.5
72 109.925040481591 81
72 107.892848192971 82.5
72 105.974071583053 84
72 104.15981463192 85.5
72 102.442063256393 87
72 100.813580909784 88.5
72 99.2678184248829 90

73.5 122.107562777828 75
73.5 119.268447805799 76.5
73.5 116.609295397297 78
73.5 114.114249259775 79.5
73.5 111.769205194317 81
73.5 109.561581294272 82.5
73.5 107.480122714794 84
73.5 105.514735185803 85.5
73.5 103.656342523075 87
73.5 101.896764255774 88.5
73.5 100.22861018129 90

75 125.144520262248 75
75 122.034285267446 76.5
75 119.12636107167 78
75 116.402537403682 79.5
75 113.846653576228 81
75 111.44432525251 82.5
75 109.182712925132 84
75 107.050324981369 85.5
75 105.036849568372 87
75 103.133010538033 88.5
75 101.330443603723 90
