V1 V2 V3
1 104.903002187651 0.01
1 104.486065060004 0.014
1 104.070711204085 0.018
1 103.656937603305 0.022
1 103.244741132158 0.026
1 102.834118560466 0.03
1 102.425066557506 0.034
1 102.017581696038 0.038
1 101.61166045622 0.042
1 101.20729922942 0.046
1 100.804494321929 0.05

5.9 108.794137022145 0.01
5.9 107.149928286224 0.014
5.9 105.513653001691 0.018
5.9 103.886164965852 0.022
5.9 102.268281029134 0.026
5.9 100.660781042907 0.03
5.9 99.0644078864295 0.034
5.9 97.4798675701488 0.038
5.9 95.9078294124329 0.042
5.9 94.3489262867083 0.046
5.9 92.8037549358534 0.05

10.8 114.231190439918 0.01
10.8 111.705278899175 0.014
10.8 109.202849744282 0.018
10.8 106.726063909331 0.022
10.8 104.276941767757 0.026
10.8 101.857363646315 0.03
10.8 99.469070824246 0.034
10.8 97.1136669904562 0.038
10.8 94.7926201304439 0.042
10.8 92.5072648137773 0.046
10.8 90.2588048522713 0.05

15.7 120.550973345243 0.01
15.7 117.175147454137 0.014
15.7 113.853248440757 0.018
15.7 110.588464223232 0.022
15.7 107.383654490302 0.026
15.7 104.241357468835 0.03
15.7 101.163797960583 0.034
15.7 98.1528965213334 0.038
15.7 95.2102796547405 0.042
15.7 92.3372908933921 0.046
15.7 89.5350026410574 0.05

20.6 127.183789675844 0.01
20.6 122.964643862562 0.014
20.6 118.843477509202 0.018
20.6 114.823763995956 0.022
20.6 110.908387083741 0.026
20.6 107.099665644843 0.03
20.6 103.399380429397 0.034
20.6 99.8088024997669 0.038
20.6 96.3287229758793 0.042
20.6 92.9594837487902 0.046
20.6 89.7010088367825 0.05

25.5 133.760063808136 0.01
25.5 128.703370614849 0.014
25.5 123.800844918589 0.018
25.5 119.055138164595 0.022
25.5 114.468010019163 0.026
25.5 110.040387686745 0.03
25.5 105.772427125725 0.034
25.5 101.663575384403 0.038
25.5 97.7126333332702 0.042
25.5 93.9178181294156 0.046
25.5 90.2768248125189 0.05

30.4 140.104542880308 0.01
30.4 134.21899602895 0.014
30.4 128.554537322029 0.018
30.4 123.111609433114 0.022
30.4 117.88946803198 0.026
30.4 112.886294820883 0.03
30.4 108.099310189652 0.034
30.4 103.524884188299 0.038
30.4 99.1586446700969 0.042
30.4 94.9955816153605 0.046
30.4 91.0301468033326 0.05

35.3 146.140640603887 0.01
35.3 139.43831686741 0.014
35.3 133.033405386045 0.018
35.3 126.92255109499 0.022
35.3 121.10097976447 0.026
35.3 115.562683339812 0.03
35.3 110.300599113353 0.034
35.3 105.306780961142 0.038
35.3 100.572561206037 0.042
35.3 96.0887019867196 0.046
35.3 91.8455353139198 0.05

40.2 151.840980682177 0.01
40.2 144.337017458835 0.014
40.2 137.214936478814 0.018
40.2 130.465861485377 0.022
40.2 124.079387519316 0.026
40.2 118.043853377418 0.03
40.2 112.34659736915 0.034
40.2 106.974194478608 0.038
40.2 101.912673617345 0.042
40.2 97.1477141862322 0.046
40.2 92.6648216441223 0.05

45.1 157.203150512308 0.01
45.1 148.915222612934 0.014
45.1 141.10060903272 0.018
45.1 133.743112549398 0.022
45.1 126.825079472845 0.026
45.1 120.327767224814 0.03
45.1 114.231679051975 0.034
45.1 108.516864566733 0.038
45.1 103.163185686683 0.042
45.1 98.1505483068504 0.046
45.1 93.4591006848556 0.05

50 162.237421569082 0.01
50 153.185196208357 0.014
50 144.703573069352 0.018
50 136.767207068297 0.022
50 129.349606535593 0.026
50 122.423594471685 0.03
50 115.961714794886 0.034
50 109.936583999546 0.038
50 104.321189802061 0.042
50 99.089139292839 0.046
50 94.2148598409726 0.05
