V1 V2 V3
1 102.583414158416 0.01
1 102.226674364683 0.014
1 101.87020595508 0.018
1 101.514027097937 0.022
1 101.158155713513 0.026
1 100.80260947343 0.03
1 100.447405800178 0.034
1 100.092561866698 0.038
1 99.7380945960252 0.042
1 99.384020661017 0.046
1 99.0303564841411 0.05

10.9 119.586793188647 0.01
10.9 116.384559999299 0.014
10.9 113.260900278248 0.018
10.9 110.214763193428 0.022
10.9 107.245063322339 0.026
10.9 104.350683552742 0.03
10.9 101.530477917236 0.034
10.9 98.7832743585553 0.038
10.9 96.1078774227937 0.042
10.9 93.5030708780056 0.046
10.9 90.9676202559701 0.05

20.8 147.86538104932 0.01
20.8 141.29195975657 0.014
20.8 135.043272269545 0.018
20.8 129.104772545207 0.022
20.8 123.462375259931 0.026
20.8 118.102457662664 0.03
20.8 113.011859800367 0.034
20.8 108.177883238215 0.038
20.8 103.588288394599 0.042
20.8 99.2312906080738 0.046
20.8 95.0955550501193 0.05

30.7 174.203764800213 0.01
30.7 163.897721154059 0.014
30.7 154.330841864624 0.018
30.7 145.449749544022 0.022
30.7 137.204566892435 0.026
30.7 129.548737220976 0.03
30.7 122.438848499469 0.034
30.7 115.834461545081 0.038
30.7 109.697942873198 0.042
30.7 103.994302643796 0.046
30.7 98.6910380548593 0.05

40.6 198.086475491965 0.01
40.6 183.81997011123 0.014
40.6 170.865566038911 0.018
40.6 159.095682868092 0.022
40.6 148.394827867934 0.026
40.6 138.658550257321 0.03
40.6 129.792470217896 0.034
40.6 121.711379473785 0.038
40.6 114.338410090838 0.042
40.6 107.604268031739 0.046
40.6 101.446527937787 0.05

50.5 219.6151966723 0.01
50.5 201.267927154505 0.014
50.5 184.948453816911 0.018
50.5 170.412706860706 0.022
50.5 157.446240107439 0.026
50.5 145.860770930753 0.03
50.5 135.491091952447 0.034
50.5 126.192320265055 0.038
50.5 117.837452173787 0.042
50.5 110.315193687883 0.046
50.5 103.528039203357 0.05

60.4 239.00247573015 0.01
60.4 216.538121099369 0.014
60.4 196.940990032919 0.018
60.4 179.804279933415 0.022
60.4 164.780623654389 0.026
60.4 151.573506441116 0.03
60.4 139.929871062956 0.034
60.4 129.63375858717 0.038
60.4 120.500849482791 0.042
60.4 112.373785467905 0.046
60.4 105.118166776775 0.05

70.3 256.472146474524 0.01
70.3 229.918653083685 0.014
70.3 207.175185633204 0.018
70.3 187.624603688339 0.022
70.3 170.754213850826 0.026
70.3 156.138006070676 0.03
70.3 143.421850151714 0.034
70.3 132.311179519802 0.038
70.3 122.560759933879 0.042
70.3 113.966201964583 0.046
70.3 106.356928789656 0.05

80.2 272.233840351862 0.01
80.2 241.667368959021 0.014
80.2 215.936759224065 0.018
80.2 194.167711828617 0.022
80.2 175.652900480411 0.026
80.2 159.819556471073 0.03
80.2 146.203304627295 0.034
80.2 134.427073528606 0.038
80.2 124.184115715815 0.042
80.2 115.224350247269 0.046
80.2 107.343385997629 0.05

90.1 286.476699814211 0.01
90.1 252.008721721266 0.014
90.1 223.466042710866 0.018
90.1 199.672845622414 0.022
90.1 179.701930639675 0.026
90.1 162.820815989173 0.03
90.1 148.449558296024 0.034
90.1 136.127775320695 0.038
90.1 125.488881118851 0.042
90.1 116.239964661812 0.046
90.1 108.146077928251 0.05

100 299.368963395259 0.01
100 261.135973365742 0.014
100 229.963357480694 0.018
100 204.333118642376 0.022
100 183.077511586191 0.026
100 165.295616435822 0.03
100 150.289985543443 0.034
100 137.518553354408 0.038
100 126.558134586293 0.042
100 117.07671009674 0.046
100 108.812370534311 0.05
