V1 V2 V3
35.01 44.1504469108379 0.1
35.01 44.133160299222 0.14
35.01 44.1220875447699 0.18
35.01 44.1145102154824 0.22
35.01 44.1090507774341 0.26
35.01 44.10496121775 0.3
35.01 44.1018050941335 0.34
35.01 44.0993118871178 0.38
35.01 44.0973054022444 0.42
35.01 44.0956661000685 0.46
35.01 44.0943100747136 0.5

41.509 84.7815513126005 0.1
41.509 74.1794707168771 0.14
41.509 67.3066457520691 0.18
41.509 62.5588934805707 0.22
41.509 59.1164177609683 0.26
41.509 56.5263945167158 0.3
41.509 54.5211884649064 0.34
41.509 52.9333752447622 0.38
41.509 51.653169127238 0.42
41.509 50.6057032447391 0.46
41.509 49.7382165557476 0.5

48.008 111.822073912395 0.1
48.008 96.9336408905578 0.14
48.008 86.2314892098729 0.18
48.008 78.3306617151509 0.22
48.008 72.3449216462214 0.26
48.008 67.7056773624518 0.3
48.008 64.0388090167571 0.34
48.008 61.0916603574451 0.38
48.008 58.6891489990401 0.42
48.008 56.7069262513249 0.46
48.008 55.0546376229304 0.5

54.507 127.78916925821 0.1
54.507 112.626365595691 0.14
54.507 100.432060013849 0.18
54.507 90.8567980572086 0.22
54.507 83.2873571544451 0.26
54.507 77.2335150147896 0.3
54.507 72.3341493270042 0.34
54.507 68.3249461802565 0.38
54.507 65.0110042242937 0.42
54.507 62.246987136488 0.46
54.507 59.9231473027924 0.5

61.006 136.831094865999 0.1
61.006 123.418104557208 0.14
61.006 111.077405917553 0.18
61.006 100.735179016985 0.22
61.006 92.2320941138156 0.26
61.006 85.2390870053918 0.3
61.006 79.4569103918585 0.34
61.006 74.6442715646431 0.38
61.006 70.611763356211 0.42
61.006 67.2112954097242 0.46
61.006 64.326710261609 0.5

67.505 141.778268103693 0.1
67.505 130.828653102423 0.14
67.505 119.13363715707 0.18
67.505 108.606551245239 0.22
67.505 99.5958969278893 0.26
67.505 91.9885238681213 0.3
67.505 85.576071213557 0.34
67.505 80.1573448472464 0.38
67.505 75.5607211670918 0.42
67.505 71.6449712915748 0.46
67.505 68.2950993910165 0.5

74.004 144.418688473088 0.1
74.004 135.912046460627 0.14
74.004 125.274550645573 0.18
74.004 114.945889670776 0.22
74.004 105.723636389495 0.26
74.004 97.7301510781516 0.3
74.004 90.868443826669 0.34
74.004 84.9895836804678 0.38
74.004 79.9471548033816 0.42
74.004 75.6121174199097 0.46
74.004 71.8748876288375 0.5

80.503 145.804627984238 0.1
80.503 139.400517776952 0.14
80.503 129.98377930854 0.18
80.503 120.095417199194 0.22
80.503 110.872473332745 0.26
80.503 102.66074250793 0.3
80.503 95.4839228184372 0.34
80.503 89.2543351366924 0.38
80.503 83.856506606941 0.42
80.503 79.1772582921423 0.46
80.503 75.1150795392277 0.5

87.002 146.524700890151 0.1
87.002 141.798440997019 0.14
87.002 133.615542940042 0.18
87.002 124.308656783818 0.22
87.002 115.233884799243 0.26
87.002 106.930415375554 0.3
87.002 99.5414117396524 0.34
87.002 93.0454810626313 0.38
87.002 87.3625273056782 0.42
87.002 82.3981898040959 0.46
87.002 78.0610119445856 0.5

93.501 146.896848935501 0.1
93.501 143.451134564239 0.14
93.501 136.43157386823 0.18
93.501 127.777881772746 0.22
93.501 118.953660504724 0.26
93.501 110.654224318578 0.3
93.501 103.133805306743 0.34
93.501 96.4384186847474 0.38
93.501 90.5262484606913 0.42
93.501 85.3241344213778 0.46
93.501 80.7523119138487 0.5

100 147.088882166418 0.1
100 144.594140025622 0.14
100 138.626516162161 0.18
100 130.651092244059 0.22
100 122.145225565184 0.26
100 113.921886937264 0.3
100 106.334096167108 0.34
100 99.4933391840511 0.38
100 93.3974137724675 0.42
100 87.9961027906678 0.46
100 83.2226980328383 0.5
