V1 V2 V3
20 133.0742334877 40
20 132.42021924233 43
20 131.851511202877 46
20 131.352440882541 49
20 130.910955599166 52
20 130.517632346706 55
20 130.164997706569 58
20 129.847048440871 61
20 129.558906918833 64
20 129.296569115186 67
20 129.056717408995 70

22 131.528184224025 40
22 130.691989904813 43
22 129.964864409847 46
22 129.326774689775 49
22 128.762310706634 52
22 128.259424612563 55
22 127.808561217879 58
22 127.402045042344 61
22 127.033639758265 64
22 126.698225992164 67
22 126.391561977442 70

24 130.213392331861 40
24 129.174690307852 43
24 128.271471156539 46
24 127.478850268653 49
24 126.777685637061 52
24 126.153011692552 55
24 125.592959190579 58
24 125.087993819947 61
24 124.630368952812 64
24 124.213725417062 67
24 123.832794184376 70

26 129.144732995247 40
26 127.884576868179 43
26 126.788788931598 46
26 125.827179109701 49
26 124.976524267253 52
26 124.218668134891 55
26 123.539210912773 58
26 122.926585548568 61
26 122.371393812257 64
26 121.8659207389 67
26 121.403773928973 70

28 128.329203134712 40
28 126.830056357774 43
28 125.526450464785 46
28 124.382469783183 49
28 123.370486872534 52
28 122.468902097593 55
28 121.660584713163 58
28 120.931773956709 61
28 120.271289208674 64
28 119.669952348521 67
28 119.120158647811 70

30 127.767974827829 40
30 126.013698431029 43
30 124.488240694682 46
30 123.14957370156 49
30 121.965368284569 52
30 120.910348913067 55
30 119.964469476548 58
30 119.111627361653 61
30 118.338739195031 64
30 117.635064894076 67
30 116.991705533202 70

32 127.457971688517 40
32 125.433784985284 43
32 123.673622634646 46
32 122.12899036776 49
32 120.762584900899 52
32 119.545241848605 55
32 118.453830836204 58
32 117.469771726661 61
32 116.577968158638 64
32 115.766027596707 67
32 115.023681940084 70

34 127.393064424284 40
34 125.085488516738 43
34 123.078900771046 46
34 121.318017647276 49
34 119.760313345479 52
34 118.37254042206 55
34 117.128330214857 58
34 116.00650133951 61
34 114.989843921227 64
34 114.064230450849 67
34 113.217955277933 70

36 127.564969945119 40
36 124.961760940808 43
36 122.698100937059 46
36 120.711623790912 49
36 118.954355546243 52
36 117.388789291902 55
36 115.985178167321 58
36 114.719627153354 61
36 113.572721546946 64
36 112.528523905291 67
36 111.573828918636 70

38 127.96392565629 40
38 125.054002433047 43
38 122.523634412835 46
38 120.303107374689 49
38 118.338794994791 52
38 116.588771238155 55
38 115.019784421861 58
38 113.605124177661 61
38 112.323088331355 64
38 111.155861665315 67
38 110.088682999221 70

40 128.579197983621 40
40 125.352567855844 43
40 122.546802527342 46
40 120.08460030029 49
40 117.906498330205 52
40 115.966007484129 55
40 114.226257070406 58
40 112.657629648197 61
40 111.23606104682 64
40 109.941797096312 67
40 108.758470055848 70
