V1 V2 V3
60 101.54547469084 75
60 100.636161876557 76.5
60 99.7618226320543 78
60 98.9204773213064 79.5
60 98.1102929479936 81
60 97.3295698246194 82.5
60 96.5767296699372 84
60 95.8503049592789 85.5
60 95.1489293765744 87
60 94.4713292373513 88.5
60 93.8163157694357 90

61.5 101.836801633121 75
61.5 100.876305688888 76.5
61.5 99.9527518963565 78
61.5 99.0640491903354 79.5
61.5 98.2082613993522 81
61.5 97.3835931644047 82.5
61.5 96.5883773664196 84
61.5 95.8210638771357 85.5
61.5 95.0802094736892 87
61.5 94.3644687788341 88.5
61.5 93.6725861071408 90

63 102.196259847723 75
63 101.183436807494 76.5
63 100.209568499581 78
63 99.272449939137 79.5
63 98.3700394735241 81
63 97.5004439339335 82.5
63 96.6619053778997 84
63 95.8527892273408 85.5
63 95.0715736336977 87
63 94.3168399245848 88.5
63 93.5872640057758 90

64.5 102.623908996965 75
64.5 101.557636328197 76.5
64.5 100.53237414669 78
64.5 99.5458011041078 79.5
64.5 98.5957678038433 81
64.5 97.680281169043 82.5
64.5 96.7974904854855 84
64.5 95.9456749136318 85.5
64.5 95.1232322925317 87
64.5 94.3286690823164 88.5
64.5 93.5605913124415 90

66 103.119863711488 75
66 101.999039752325 76.5
66 100.921324406976 78
66 99.8842775652245 79.5
66 98.8856398657604 81
66 97.9233162644586 82.5
66 96.9953613632033 84
66 96.0999662830447 85.5
66 95.2354468953054 87
66 94.4002332495234 88.5
66 93.5928600586007 90

67.5 103.684294298197 75
67.5 102.50783769255 76.5
67.5 101.376629417889 78
67.5 100.288108247932 79.5
67.5 99.2399026768621 81
67.5 98.2298136720131 82.5
67.5 97.2557992744802 84
67.5 96.3159608207204 85.5
67.5 95.408530589504 87
67.5 94.5318607051085 88.5
67.5 93.6844131501929 90

69 104.317424697696 75
69 103.084273831231 76.5
69 101.898551844245 78
69 100.757574083183 79.5
69 99.6588547577154 81
69 98.6000888622653 82.5
69 97.5791360345098 84
69 96.5940061129914 85.5
69 95.6428461887667 87
69 94.7239289738377 88.5
69 93.8356423327398 90

70.5 105.019528107543 75
70.5 103.728640547076 76.5
70.5 102.487402508165 78
70.5 101.293003640533 79.5
70.5 100.142841767999 81
70.5 99.0345039635576 82.5
70.5 97.9657496521315 84
70.5 96.9344954919836 85.5
70.5 95.9388018201166 87
70.5 94.9768604761096 88.5
70.5 94.0469838435694 90

72 105.790920703177 75
72 104.441272641555 76.5
72 103.143534120764 78
72 101.894766864909 79.5
72 100.692250248159 81
72 99.5334615083822 82.5
72 98.4160580807402 84
72 97.3378617909102 85.5
72 96.2968446834881 87
72 95.2911162915719 88.5
72 94.3189121793862 90

73.5 106.631953887273 75
73.5 105.22253959546 76.5
73.5 103.86733354564 78
73.5 102.563267346756 79.5
73.5 101.307499895979 81
73.5 100.09739671614 82.5
73.5 98.9305115070092 84
73.5 97.8045696385496 85.5
73.5 96.7174533517611 87
73.5 95.6671884645247 88.5
73.5 94.6519324068628 90

75 107.543005483164 75
75 106.072836770934 76.5
75 104.659213009176 78
75 103.298933540313 79.5
75 101.98903479252 81
75 100.726768726465 82.5
75 99.5095835913402 84
75 98.3351067065707 85.5
75 97.2011290247243 87
75 96.1055912642964 88.5
75 95.0465714292161 90
