V1 V2 V3
1 102.20193028123 0.01
1 101.862620936413 0.014
1 101.523044330724 0.018
1 101.183229493097 0.022
1 100.843205153336 0.026
1 100.502999735762 0.03
1 100.162641353141 0.034
1 99.8221578008973 0.038
1 99.4815765516115 0.042
1 99.140924749794 0.046
1 98.800229206943 0.05

10.9 109.20940703366 0.01
10.9 107.51800138858 0.014
10.9 105.809586680808 0.018
10.9 104.086350155151 0.022
10.9 102.350488238444 0.026
10.9 100.60419765246 0.03
10.9 98.8496667398292 0.034
10.9 97.0890670584219 0.038
10.9 95.3245452955465 0.042
10.9 93.5582155487678 0.046
10.9 91.7921520153115 0.05

20.8 116.65222744225 0.01
20.8 114.325470161679 0.014
20.8 111.97203501462 0.018
20.8 109.597590031017 0.022
20.8 107.207754152145 0.026
20.8 104.808057456101 0.03
20.8 102.403903989121 0.034
20.8 100.000537568789 0.038
20.8 97.6030108566982 0.042
20.8 95.2161579277931 0.046
20.8 92.844570493256 0.05

30.7 121.261388716145 0.01
30.7 118.50243181134 0.014
30.7 115.7162200071 0.018
30.7 112.912116399434 0.022
30.7 110.099209104222 0.026
30.7 107.286229597533 0.03
30.7 104.481481558336 0.034
30.7 101.692780839464 0.038
30.7 98.9274068784889 0.042
30.7 96.1920655632254 0.046
30.7 93.4928632953911 0.05

40.6 124.330453521567 0.01
40.6 121.24356123856 0.014
40.6 118.135210836079 0.018
40.6 115.018139321869 0.022
40.6 111.904405242711 0.026
40.6 108.805274017701 0.03
40.6 105.73112842867 0.034
40.6 102.691404148541 0.038
40.6 99.6945494199159 0.042
40.6 96.7480073440169 0.046
40.6 93.8582187191112 0.05

50.5 126.466743285192 0.01
50.5 123.119450181812 0.014
50.5 119.760716635546 0.018
50.5 116.406056904638 0.022
50.5 113.069763090573 0.026
50.5 109.764783838846 0.03
50.5 106.502647894292 0.034
50.5 103.293429595744 0.038
50.5 100.145752155153 0.042
50.5 97.0668236815179 0.046
50.5 94.0625003774363 0.05

60.4 127.998465748096 0.01
60.4 124.439856098526 0.014
60.4 120.882444623915 0.018
60.4 117.343811158399 0.022
60.4 113.839684805719 0.026
60.4 110.383852961985 0.03
60.4 106.988136151741 0.034
60.4 103.662420324851 0.038
60.4 100.414736912095 0.042
60.4 97.2513803237888 0.046
60.4 94.177052615719 0.05

70.3 129.120282944669 0.01
70.3 125.388247790852 0.014
70.3 121.671490835167 0.018
70.3 117.988931634558 0.022
70.3 114.356982161706 0.026
70.3 110.789526184407 0.03
70.3 107.297982180692 0.034
70.3 103.891433477634 0.038
70.3 100.576808630652 0.042
70.3 97.3590955637344 0.046
70.3 94.2415744116663 0.05

80.2 129.955157753031 0.01
80.2 126.079916563961 0.014
80.2 122.234615614403 0.018
80.2 118.438835238182 0.022
80.2 114.709012236161 0.026
80.2 111.058526537593 0.03
80.2 107.497881810064 0.034
80.2 104.034954016098 0.038
80.2 100.675283035563 0.042
80.2 97.4223851016156 0.046
80.2 94.2780674011988 0.05

90.1 130.58433334724 0.01
90.1 126.590428576042 0.014
90.1 122.64109457356 0.018
90.1 118.755974335027 0.022
90.1 114.950990347521 0.026
90.1 111.238568127968 0.03
90.1 107.627953879496 0.034
90.1 104.125590093743 0.038
90.1 100.735517071938 0.042
90.1 97.4597740182653 0.046
90.1 94.2987797037716 0.05

100 131.063315526407 0.01
100 126.970886720284 0.014
100 122.937202944111 0.018
100 118.98146805868 0.022
100 115.118673629151 0.026
100 111.359979337283 0.03
100 107.713175942229 0.034
100 104.183185394257 0.038
100 100.772560982957 0.042
100 97.4819597562348 0.046
100 94.3105686822745 0.05
