V1 V2 V3
1 104.596457149171 0.01
1 104.303160974548 0.014
1 103.287682925611 0.018
1 103.709227152486 0.022
1 102.850482142387 0.026
1 102.202705350747 0.03
1 101.81478775604 0.034
1 102.065783637181 0.038
1 103.596193356345 0.042
1 101.949780043173 0.046
1 100.692748814258 0.05

5.9 121.062601375599 0.01
5.9 113.267391296279 0.014
5.9 124.820180291666 0.018
5.9 115.744256481545 0.022
5.9 110.595462861103 0.026
5.9 119.948867911379 0.03
5.9 98.6455500217898 0.034
5.9 109.086252838728 0.038
5.9 108.768470397992 0.042
5.9 101.850192389985 0.046
5.9 104.470718480643 0.05

10.8 131.445980535903 0.01
10.8 143.371772499238 0.014
10.8 106.459883113809 0.018
10.8 111.014362618377 0.022
10.8 102.049512779165 0.026
10.8 103.972677324679 0.03
10.8 120.687873006205 0.034
10.8 105.072400993321 0.038
10.8 105.135092444324 0.042
10.8 103.444927162287 0.046
10.8 97.6868896315601 0.05

15.7 143.564357067403 0.01
15.7 120.966722069809 0.014
15.7 112.602335367328 0.018
15.7 131.070137923667 0.022
15.7 122.40275001476 0.026
15.7 88.8737205582673 0.03
15.7 108.817762438003 0.034
15.7 107.168856899332 0.038
15.7 124.428167035531 0.042
15.7 76.1568420204804 0.046
15.7 109.570293349951 0.05

20.6 110.555855594044 0.01
20.6 128.576641851688 0.014
20.6 100.168152130024 0.018
20.6 152.906885069428 0.022
20.6 102.7178481146 0.026
20.6 111.394390730208 0.03
20.6 80.9029563417603 0.034
20.6 125.0652346931 0.038
20.6 101.747274498305 0.042
20.6 97.6673971984207 0.046
20.6 103.229536587047 0.05

25.5 155.670766082799 0.01
25.5 147.794562103782 0.014
25.5 105.588257248442 0.018
25.5 81.9606427444192 0.022
25.5 108.96551745639 0.026
25.5 107.086389489622 0.03
25.5 85.4226040308285 0.034
25.5 119.919204973456 0.038
25.5 134.586684169183 0.042
25.5 97.5364072356207 0.046
25.5 105.624896215371 0.05

30.4 120.464715140882 0.01
30.4 129.050219380051 0.014
30.4 95.4809819573923 0.018
30.4 121.340691259248 0.022
30.4 100.858268138774 0.026
30.4 107.897184118928 0.03
30.4 101.812024793334 0.034
30.4 106.08888611047 0.038
30.4 85.0532437985784 0.042
30.4 108.421413358665 0.046
30.4 105.875197581573 0.05

35.3 108.626102412875 0.01
35.3 115.147005803825 0.014
35.3 140.57148371046 0.018
35.3 110.829725620064 0.022
35.3 106.081607717405 0.026
35.3 143.298628407233 0.03
35.3 135.440864951438 0.034
35.3 98.4250325773802 0.038
35.3 124.844671552601 0.042
35.3 89.1834300116803 0.046
35.3 117.194738362863 0.05

40.2 98.8993022285253 0.01
40.2 120.367133344252 0.014
40.2 128.703551969612 0.018
40.2 105.098598911663 0.022
40.2 104.842507644819 0.026
40.2 106.595787423694 0.03
40.2 100.490366821857 0.034
40.2 84.3336548392892 0.038
40.2 119.535293217516 0.042
40.2 93.0330571199921 0.046
40.2 110.648531498185 0.05

45.1 149.639682859933 0.01
45.1 173.757322922517 0.014
45.1 152.168116086422 0.018
45.1 119.283702196297 0.022
45.1 129.652127805191 0.026
45.1 132.08666131042 0.03
45.1 63.5327131528359 0.034
45.1 76.0144602668169 0.038
45.1 144.963062526869 0.042
45.1 91.2164274537769 0.046
45.1 92.5796005884297 0.05

50 125.037023608624 0.01
50 129.757567377402 0.014
50 171.983242699533 0.018
50 153.511786750922 0.022
50 111.42449774353 0.026
50 98.9093964218889 0.03
50 104.50011751379 0.034
50 71.6417163613017 0.038
50 69.6168988417401 0.042
50 70.8192915663341 0.046
50 95.8382140815955 0.05
