V1 V2 V3
1 119.479652106894 0.01
1 119.027960553954 0.014
1 119.083394507992 0.018
1 118.986081151965 0.022
1 119.480916821299 0.026
1 118.801897590063 0.03
1 119.005905960952 0.034
1 119.573937818045 0.038
1 119.126032959327 0.042
1 119.016798467303 0.046
1 119.877203268456 0.05

5.9 119.888538095269 0.01
5.9 119.169447496548 0.014
5.9 118.834540994866 0.018
5.9 119.220875870559 0.022
5.9 119.293554502741 0.026
5.9 118.822492466654 0.03
5.9 119.361667921113 0.034
5.9 119.602365344501 0.038
5.9 118.898387610076 0.042
5.9 119.742493984848 0.046
5.9 119.138118440852 0.05

10.8 119.2316443238 0.01
10.8 119.309400511972 0.014
10.8 120.191331934656 0.018
10.8 119.97455596198 0.022
10.8 119.008264388044 0.026
10.8 119.107758907705 0.03
10.8 119.212043171062 0.034
10.8 118.525926702787 0.038
10.8 119.959871137659 0.042
10.8 119.574218713114 0.046
10.8 119.580985764315 0.05

15.7 119.29561233532 0.01
15.7 119.072606201106 0.014
15.7 118.432868196948 0.018
15.7 119.554519895928 0.022
15.7 120.028239915783 0.026
15.7 118.402043883331 0.03
15.7 118.751816448433 0.034
15.7 118.255405385912 0.038
15.7 118.494597696383 0.042
15.7 118.753823271586 0.046
15.7 119.275155601655 0.05

20.6 119.002225974387 0.01
20.6 118.994850489015 0.014
20.6 118.496707137335 0.018
20.6 120.376377932002 0.022
20.6 119.000109195621 0.026
20.6 118.996124540864 0.03
20.6 119.745942549369 0.034
20.6 119.274022816954 0.038
20.6 118.338153163662 0.042
20.6 119.219147158059 0.046
20.6 119.802214358398 0.05

25.5 119.447032315172 0.01
25.5 119.451312073023 0.014
25.5 119.907162904893 0.018
25.5 119.543052598786 0.022
25.5 119.481177972281 0.026
25.5 119.483711983069 0.03
25.5 119.053463142047 0.034
25.5 119.594399309625 0.038
25.5 119.274293746987 0.042
25.5 118.420411129465 0.046
25.5 119.011377220394 0.05

30.4 118.680887705934 0.01
30.4 120.004513444277 0.014
30.4 119.100617543165 0.018
30.4 119.982276524915 0.022
30.4 119.758209727833 0.026
30.4 119.167393527399 0.03
30.4 119.177140659575 0.034
30.4 119.268295740982 0.038
30.4 118.903307101847 0.042
30.4 118.437898248317 0.046
30.4 119.664608110041 0.05

35.3 119.187940232443 0.01
35.3 119.377333083693 0.014
35.3 118.998362439717 0.018
35.3 119.492219444374 0.022
35.3 119.160610802082 0.026
35.3 119.314932425281 0.03
35.3 118.540049801422 0.034
35.3 119.803598940062 0.038
35.3 120.228438918889 0.042
35.3 118.442537805456 0.046
35.3 119.137176997408 0.05

40.2 119.161350760322 0.01
40.2 119.482140783145 0.014
40.2 119.576689816494 0.018
40.2 118.999770068086 0.022
40.2 119.869199609426 0.026
40.2 119.232253996654 0.03
40.2 119.716623317588 0.034
40.2 118.924015568077 0.038
40.2 119.156115110228 0.042
40.2 118.558336642287 0.046
40.2 119.641505956655 0.05

45.1 119.22287198959 0.01
45.1 119.388640084255 0.014
45.1 119.42599296862 0.018
45.1 119.371650178379 0.022
45.1 119.366004182182 0.026
45.1 118.842886578068 0.03
45.1 119.954160494366 0.034
45.1 119.426155230215 0.038
45.1 118.74580341202 0.042
45.1 119.255434210183 0.046
45.1 119.456790388412 0.05

50 119.748215780768 0.01
50 119.241802157759 0.014
50 118.858901013327 0.018
50 119.148722325747 0.022
50 118.726034285098 0.026
50 118.107097478556 0.03
50 118.361592640319 0.034
50 119.860746574029 0.038
50 119.166843958521 0.042
50 119.240987292615 0.046
50 118.606759494638 0.05
