V1 V2 V3
1 101.7507 0.01
1 101.6069 0.014
1 101.2926 0.018
1 100.849 0.022
1 100.6207 0.026
1 100.2358 0.03
1 99.9976 0.034
1 99.65234 0.038
1 99.44352 0.042
1 99.0152 0.046
1 98.61965 0.05

10.9 104.1355 0.01
10.9 102.5406 0.014
10.9 101.5879 0.018
10.9 100.1266 0.022
10.9 98.75567 0.026
10.9 97.51169 0.03
10.9 96.74841 0.034
10.9 95.17814 0.038
10.9 93.64535 0.042
10.9 92.61863 0.046
10.9 91.38875 0.05

20.8 103.2734 0.01
20.8 102.5024 0.014
20.8 101.1803 0.018
20.8 99.49633 0.022
20.8 98.63735 0.026
20.8 96.89321 0.03
20.8 95.59435 0.034
20.8 94.09297 0.038
20.8 92.83547 0.042
20.8 91.44012 0.046
20.8 90.30929 0.05

30.7 103.0009 0.01
30.7 102.9502 0.014
30.7 101.3212 0.018
30.7 99.33807 0.022
30.7 98.53511 0.026
30.7 97.04261 0.03
30.7 95.75665 0.034
30.7 94.46577 0.038
30.7 92.7605 0.042
30.7 91.24236 0.046
30.7 89.91823 0.05

40.6 103.9042 0.01
40.6 102.8919 0.014
40.6 101.5866 0.018
40.6 99.51225 0.022
40.6 98.18715 0.026
40.6 96.97525 0.03
40.6 95.51683 0.034
40.6 93.81607 0.038
40.6 92.7906 0.042
40.6 91.24768 0.046
40.6 89.65635 0.05

50.5 103.8243 0.01
50.5 101.9394 0.014
50.5 100.5428 0.018
50.5 99.83841 0.022
50.5 98.04058 0.026
50.5 96.66421 0.03
50.5 95.34943 0.034
50.5 94.14396 0.038
50.5 92.64734 0.042
50.5 91.24533 0.046
50.5 90.32307 0.05

60.4 103.7469 0.01
60.4 102.7735 0.014

60.4 100.8522 0.018
60.4 99.50982 0.022
60.4 98.29513 0.026
60.4 97.04876 0.03
60.4 95.3903 0.034
60.4 94.47601 0.038
60.4 92.88579 0.042
60.4 91.3977 0.046
60.4 89.75409 0.05

70.3 104.1362 0.01
70.3 102.1993 0.014
70.3 100.8042 0.018
70.3 99.83264 0.022
70.3 98.32174 0.026
70.3 97.13528 0.03
70.3 95.22147 0.034
70.3 94.09562 0.038
70.3 92.39748 0.042
70.3 91.09675 0.046
70.3 90.11136 0.05

80.2 103.6316 0.01
80.2 102.0253 0.014
80.2 101.0913 0.018
80.2 99.56683 0.022
80.2 98.3923 0.026
80.2 97.02655 0.03
80.2 95.58749 0.034
80.2 93.98156 0.038
80.2 92.56069 0.042
80.2 91.14067 0.046 
80.2 90.21152 0.05

90.1 103.6316 0.01
90.1 102.0253 0.014
90.1 101.0913 0.018
90.1 99.56683 0.022
90.1 98.3923 0.026
90.1 97.02655 0.03
90.1 95.58749 0.034
90.1 93.98156 0.038
90.1 92.56069 0.042
90.1 91.14067 0.046 
90.1 90.21152 0.05

100 103.2316 0.01
100 102.3253 0.014
100 101.1913 0.018
100 99.46683 0.022
100 97.5923 0.026
100 96.32655 0.03
100 95.48749 0.034
100 93.78156 0.038
100 92.56069 0.042
100 91.24067 0.046 
100 89.21152 0.05
