V1 V2 V3
1.08 80.0111563359557 0.1
1.08 83.5696701863717 0.096
1.08 87.0419004048516 0.092
1.08 91.0533674406651 0.088
1.08 95.2543939655783 0.084
1.08 100.016165011059 0.08
1.08 100.01585502882 0.076
1.08 100.015737569035 0.072
1.08 100.016100667367 0.068
1.08 100.015768469878 0.064
1.08 100.317289586169 0.06

1.089 89.0250879349071 0.1
1.089 92.7682041606969 0.096
1.089 96.784284151292 0.092
1.089 100.015789350692 0.088
1.089 100.016002324798 0.084
1.089 100.016152710811 0.08
1.089 100.015863307359 0.076
1.089 100.016276139219 0.072
1.089 76.70155455482 0.068
1.089 104.289949474262 0.064
1.089 105.54138816763 0.06

1.098 98.1452065484883 0.1
1.098 100.016008265354 0.096
1.098 100.01610559588 0.092
1.098 100.016196705324 0.088
1.098 100.01587465792 0.084
1.098 100.016195373237 0.08
1.098 101.428570809723 0.076
1.098 122.151651345049 0.072
1.098 74.7569222632713 0.068
1.098 111.689232449015 0.064
1.098 107.356881110058 0.06

1.107 100.015924894359 0.1
1.107 100.016181978778 0.096
1.107 100.016378873134 0.092
1.107 100.015915760012 0.088
1.107 95.1298914472589 0.084
1.107 84.0566853993974 0.08
1.107 107.168249684054 0.076
1.107 94.2599337607985 0.072
1.107 104.901991759844 0.068
1.107 104.522093098178 0.064
1.107 104.426127318715 0.06

1.116 100.016146569517 0.1
1.116 100.015928702534 0.096
1.116 112.777120955099 0.092
1.116 113.805235430005 0.088
1.116 106.648768790789 0.084
1.116 102.289513033612 0.08
1.116 107.209337512868 0.076
1.116 92.2449817892312 0.072
1.116 105.14778672858 0.068
1.116 95.2014138287443 0.064
1.116 103.841301752249 0.06

1.125 104.624760998374 0.1
1.125 101.903220527828 0.096
1.125 122.232360205741 0.092
1.125 115.382673837746 0.088
1.125 102.900496297461 0.084
1.125 107.310972521465 0.08
1.125 102.454944772567 0.076
1.125 102.686397292974 0.072
1.125 102.929931584588 0.068
1.125 106.06903938119 0.064
1.125 101.51233253231 0.06

1.134 110.800448286617 0.1
1.134 105.99294331781 0.096
1.134 100.196438423712 0.092
1.134 102.053363620344 0.088
1.134 116.915262204002 0.084
1.134 98.2522460604348 0.08
1.134 102.963530999958 0.076
1.134 120.95381777566 0.072
1.134 119.092990205973 0.068
1.134 111.92591939312 0.064
1.134 106.598817067447 0.06

1.143 108.226168076605 0.1
1.143 108.61829964295 0.096
1.143 112.753477415293 0.092
1.143 107.572841422576 0.088
1.143 113.351207189445 0.084
1.143 107.649809035265 0.08
1.143 114.298464085611 0.076
1.143 98.5595263538283 0.072
1.143 105.981890088356 0.068
1.143 121.415173856212 0.064
1.143 131.412037595223 0.06

1.152 102.500329336949 0.1
1.152 80.453029369836 0.096
1.152 112.262957598349 0.092
1.152 103.160177524186 0.088
1.152 106.349470602136 0.084
1.152 102.125440792484 0.08
1.152 117.633116036691 0.076
1.152 125.024963260295 0.072
1.152 138.886112196584 0.068
1.152 105.013887033593 0.064
1.152 112.063805669775 0.06

1.161 94.691237758698 0.1
1.161 104.916835033314 0.096
1.161 77.1967290265213 0.092
1.161 107.864049527497 0.088
1.161 105.524012195425 0.084
1.161 106.100518746813 0.08
1.161 113.927632536216 0.076
1.161 118.662452542719 0.072
1.161 104.620793849535 0.068
1.161 126.997868241133 0.064
1.161 129.999572002283 0.06

1.17 118.618467701068 0.1
1.17 98.2429979302241 0.096
1.17 130.838717326743 0.092
1.17 105.757114080089 0.088
1.17 118.01191911242 0.084
1.17 108.434936095975 0.08
1.17 120.739709953627 0.076
1.17 97.4198014029648 0.072
1.17 107.619889161685 0.068
1.17 121.569599987077 0.064
1.17 84.3852082055878 0.06
