V1 V2 V3
1.089 99.3383046180014 0.01
1.089 96.6946242750267 0.015
1.089 94.405714504044 0.02
1.089 91.7355841630372 0.025
1.089 80.0728857221028 0.03
1.089 80.0474042704717 0.035
1.089 80.0282499229528 0.04
1.089 80.0201639386406 0.045
1.089 80.0130951220687 0.05
1.089 80.0258584543498 0.055
1.089 80.0046273669042 0.06

1.098 101.661849042894 0.01
1.098 99.5364510451412 0.015
1.098 96.7716410472058 0.02
1.098 94.3664060082496 0.025
1.098 91.9140382898988 0.03
1.098 89.830169164214 0.035
1.098 80.0431428971713 0.04
1.098 80.0377775524644 0.045
1.098 80.0200512758449 0.05
1.098 80.0107519905788 0.055
1.098 80.0204312326144 0.06

1.107 103.789714075112 0.01
1.107 101.528229347926 0.015
1.107 99.1490035434771 0.02
1.107 96.5120533651571 0.025
1.107 94.0725803374921 0.03
1.107 91.4405586780362 0.035
1.107 90.2788917521099 0.04
1.107 88.1582574263452 0.045
1.107 80.0360664805873 0.05
1.107 80.0552501375064 0.055
1.107 80.0294285827473 0.06

1.116 105.580063264155 0.01
1.116 103.199515023737 0.015
1.116 100.69003017063 0.02
1.116 98.5323375729602 0.025
1.116 95.8925008041413 0.03
1.116 93.6068263308674 0.035
1.116 91.7286568255744 0.04
1.116 89.8117881421391 0.045
1.116 88.700909165108 0.05
1.116 86.6339519086263 0.055
1.116 80.3247512089461 0.06

1.125 107.040793287412 0.01
1.125 104.201942422634 0.015
1.125 102.675215132683 0.02
1.125 100.361941614791 0.025
1.125 97.7279085240985 0.03
1.125 95.8151309518883 0.035
1.125 93.7418098232053 0.04
1.125 91.6027540424894 0.045
1.125 89.7154810294315 0.05
1.125 88.2574083499455 0.055
1.125 86.7700462736624 0.06

1.134 107.460525617196 0.01
1.134 105.912662144661 0.015
1.134 103.390703649327 0.02
1.134 101.836219976711 0.025
1.134 98.7326919145363 0.03
1.134 96.5874835463788 0.035
1.134 94.6766277985647 0.04
1.134 93.0754902489308 0.045
1.134 91.1114044703794 0.05
1.134 89.802004957588 0.055
1.134 87.9450530544873 0.06

1.143 108.403298363772 0.01
1.143 106.811269710217 0.015
1.143 104.908430163729 0.02
1.143 102.393032284933 0.025
1.143 100.377188569365 0.03
1.143 97.9436735304455 0.035
1.143 96.4177188420995 0.04
1.143 94.3965813890874 0.045
1.143 92.6378269269686 0.05
1.143 91.1185523226585 0.055
1.143 89.2828472770016 0.06

1.152 109.791617830672 0.01
1.152 107.286569207254 0.015
1.152 105.558722706939 0.02
1.152 103.099981335638 0.025
1.152 101.372012498676 0.03
1.152 99.1653404439916 0.035
1.152 97.4211852133592 0.04
1.152 95.5958528516504 0.045
1.152 93.6342466943457 0.05
1.152 92.1399995853577 0.055
1.152 90.6982441028441 0.06

1.161 110.172937751508 0.01
1.161 108.181824867393 0.015
1.161 106.850074382739 0.02
1.161 104.432126510068 0.025
1.161 102.126715988671 0.03
1.161 100.473947136086 0.035
1.161 98.1981043458485 0.04
1.161 96.6599999980929 0.045
1.161 94.8483574399798 0.05
1.161 92.9944779459457 0.055
1.161 91.6592385395545 0.06

1.17 110.759273870036 0.01
1.17 108.690723914446 0.015
1.17 106.878533515254 0.02
1.17 105.013297554807 0.025
1.17 103.286727417856 0.03
1.17 101.071694958927 0.035
1.17 99.389844227193 0.04
1.17 97.6621344143285 0.045
1.17 95.7272339308232 0.05
1.17 94.2718163931198 0.055
1.17 92.638865028691 0.06
