V1 V2 V3
1.08 112.597902291036 0.005
1.08 112.650798234015 0.0075
1.08 112.756281249578 0.01
1.08 112.815882529807 0.0125
1.08 113.172763245555 0.015
1.08 112.858614480818 0.0175
1.08 112.698056796653 0.02
1.08 112.460722256772 0.0225
1.08 111.847272346454 0.025
1.08 111.352920418426 0.0275
1.08 111.104093886252 0.03

1.089 113.907956091671 0.005
1.089 114.589246259286 0.0075
1.089 114.865135022113 0.01
1.089 114.999060444442 0.0125
1.089 115.06604623586 0.015
1.089 114.534781193862 0.0175
1.089 114.019031379794 0.02
1.089 114.197233580033 0.0225
1.089 113.449015807332 0.025
1.089 113.067740593554 0.0275
1.089 112.730393545955 0.03

1.098 115.179961219317 0.005
1.098 115.420522952186 0.0075
1.098 115.659013584602 0.01
1.098 116.152011552316 0.0125
1.098 115.944544195242 0.015
1.098 116.129020047693 0.0175
1.098 115.403624541872 0.02
1.098 115.049717167181 0.0225
1.098 114.669927118228 0.025
1.098 114.782822471868 0.0275
1.098 113.817122031457 0.03

1.107 115.602442410651 0.005
1.107 115.857137106437 0.0075
1.107 116.372967409302 0.01
1.107 116.850563778969 0.0125
1.107 116.548922848195 0.015
1.107 116.37642105863 0.0175
1.107 116.827077065996 0.02
1.107 116.287380468432 0.0225
1.107 115.793089252427 0.025
1.107 115.801664752137 0.0275
1.107 115.263865577476 0.03

1.116 116.551502529277 0.005
1.116 117.206551773541 0.0075
1.116 117.267376104884 0.01
1.116 117.595655172376 0.0125
1.116 117.53215284386 0.015
1.116 117.541916341934 0.0175
1.116 117.217286661598 0.02
1.116 117.255766113408 0.0225
1.116 116.662273134921 0.025
1.116 116.491311967527 0.0275
1.116 116.285852165851 0.03

1.125 117.585255964512 0.005
1.125 117.82669000889 0.0075
1.125 117.992328609265 0.01
1.125 118.205778703856 0.0125
1.125 117.981636539993 0.015
1.125 117.698965382891 0.0175
1.125 118.221756559243 0.02
1.125 118.123040772545 0.0225
1.125 117.694061768737 0.025
1.125 117.535212172453 0.0275
1.125 117.078685912965 0.03

1.134 117.685202919292 0.005
1.134 118.200752655735 0.0075
1.134 118.254933109534 0.01
1.134 118.313436529601 0.0125
1.134 118.497354994475 0.015
1.134 118.337133713412 0.0175
1.134 118.42068816595 0.02
1.134 118.708913607461 0.0225
1.134 118.28108568278 0.025
1.134 118.064121173567 0.0275
1.134 117.997377993075 0.03

1.143 118.031123140793 0.005
1.143 118.385231994497 0.0075
1.143 118.772443925506 0.01
1.143 118.912936494227 0.0125
1.143 118.92099039162 0.015
1.143 118.91456924785 0.0175
1.143 119.332609201272 0.02
1.143 118.989175851067 0.0225
1.143 118.622991814878 0.025
1.143 118.633411925676 0.0275
1.143 118.387070577123 0.03

1.152 118.723920843173 0.005
1.152 119.048658769488 0.0075
1.152 119.108276099122 0.01
1.152 119.209552688387 0.0125
1.152 119.315251972028 0.015
1.152 119.612157948511 0.0175
1.152 119.617344409688 0.02
1.152 119.188305468959 0.0225
1.152 119.043757844275 0.025
1.152 119.143683644501 0.0275
1.152 118.56585863211 0.03

1.161 119.040394765705 0.005
1.161 119.410113497858 0.0075
1.161 119.249728060324 0.01
1.161 119.701744704331 0.0125
1.161 119.571032327439 0.015
1.161 119.621039490914 0.0175
1.161 119.878147022106 0.02
1.161 119.450563075084 0.0225
1.161 119.906555980012 0.025
1.161 119.228369472375 0.0275
1.161 118.983907319396 0.03

1.17 118.9990644365 0.005
1.17 119.428446667254 0.0075
1.17 119.897213952716 0.01
1.17 119.549043343545 0.0125
1.17 119.59651835264 0.015
1.17 119.313143546761 0.0175
1.17 119.671795007392 0.02
1.17 119.914709828695 0.0225
1.17 119.561294779704 0.025
1.17 119.666066562494 0.0275
1.17 119.469781094497 0.03
