V1 V2 V3
1.089 115.516439643927 0.01
1.089 114.254664839476 0.016
1.089 112.717428696293 0.022
1.089 110.108281675274 0.028
1.089 107.397449679591 0.034
1.089 103.521196504278 0.04
1.089 100.213783998787 0.046
1.089 96.4571028094017 0.052
1.089 92.9524164802302 0.058
1.089 80.1059045943855 0.064
1.089 80.0348865649366 0.07

1.098 116.684397081244 0.01
1.098 115.464826239102 0.016
1.098 114.070779691271 0.022
1.098 111.805846499566 0.028
1.098 109.099738272551 0.034
1.098 106.217790028432 0.04
1.098 101.807627167397 0.046
1.098 99.1206606132497 0.052
1.098 95.0075703387815 0.058
1.098 92.3915843356091 0.064
1.098 88.9193581137778 0.07

1.107 116.551961233383 0.01
1.107 116.568761816931 0.016
1.107 114.652880418605 0.022
1.107 112.454976222129 0.028
1.107 110.620337083155 0.034
1.107 107.817023621742 0.04
1.107 104.317523703029 0.046
1.107 101.005887212244 0.052
1.107 97.6127760055281 0.058
1.107 94.5415184328381 0.064
1.107 91.1899053761083 0.07

1.116 117.677299409105 0.01
1.116 117.138554827296 0.016
1.116 115.586198419745 0.022
1.116 113.628030245596 0.028
1.116 111.486495267781 0.034
1.116 108.87822130655 0.04
1.116 106.189308608356 0.046
1.116 102.796163306905 0.052
1.116 99.7117656116799 0.058
1.116 96.4872702299473 0.064
1.116 93.0696274058173 0.07

1.125 118.101764072996 0.01
1.125 117.423276982733 0.016
1.125 115.921249576543 0.022
1.125 114.406574477381 0.028
1.125 112.851531098992 0.034
1.125 110.049862376345 0.04
1.125 106.853652109178 0.046
1.125 104.549832648476 0.052
1.125 101.384389435733 0.058
1.125 97.9964534162756 0.064
1.125 94.9941843998215 0.07

1.134 118.379242931135 0.01
1.134 117.643743867199 0.016
1.134 116.824204147986 0.022
1.134 115.329086003157 0.028
1.134 113.12790970856 0.034
1.134 110.975587805923 0.04
1.134 108.202909508468 0.046
1.134 105.500506248741 0.052
1.134 102.871065915233 0.058
1.134 99.2759413455259 0.064
1.134 96.3566366388624 0.07

1.143 118.677173740574 0.01
1.143 118.281301017368 0.016
1.143 117.209717921952 0.022
1.143 115.289333897163 0.028
1.143 113.88948995204 0.034
1.143 111.88468487186 0.04
1.143 109.459452192161 0.046
1.143 106.283212677796 0.052
1.143 103.618154071869 0.058
1.143 100.373529332484 0.064
1.143 98.0480080004343 0.07

1.152 119.097152686109 0.01
1.152 117.950367285545 0.016
1.152 117.337291469797 0.022
1.152 115.461724182857 0.028
1.152 114.347029174802 0.034
1.152 111.988267158201 0.04
1.152 109.896601207533 0.046
1.152 107.380305772602 0.052
1.152 104.009455005067 0.058
1.152 101.602632321602 0.064
1.152 99.0588353801972 0.07

1.161 119.184416365202 0.01
1.161 118.522631757921 0.016
1.161 117.342879265037 0.022
1.161 116.239633468575 0.028
1.161 114.591437152164 0.034
1.161 112.870143766098 0.04
1.161 110.627466863147 0.046
1.161 107.862198612086 0.052
1.161 105.360074773398 0.058
1.161 102.673148364425 0.064
1.161 99.9369805442169 0.07

1.17 119.388284329383 0.01
1.17 118.470928473531 0.016
1.17 117.975960360011 0.022
1.17 116.85581384774 0.028
1.17 115.104472570914 0.034
1.17 113.03175260963 0.04
1.17 111.166236800213 0.046
1.17 108.54429846599 0.052
1.17 105.679137244967 0.058
1.17 103.556330861579 0.064
1.17 100.534925842371 0.07
