V1 V2 V3
1.08 129.752464690509 0
1.08 142.608294906289 0.2
1.08 131.859215962687 0.4
1.08 127.804697280013 0.6
1.08 116.405713985356 0.8
1.08 103.914166037241 1
1.08 127.0461360761 1.2
1.08 97.5645351558032 1.4
1.08 114.876083317093 1.6
1.08 115.930602159721 1.8
1.08 87.0550872139254 2

1.089 130.357037478182 0
1.089 116.007969048635 0.2
1.089 105.96762698002 0.4
1.089 108.513485090609 0.6
1.089 143.362570017642 0.8
1.089 129.291479999554 1
1.089 111.479223512679 1.2
1.089 115.080885382181 1.4
1.089 122.725033708381 1.6
1.089 93.6618510714446 1.8
1.089 107.933857404994 2

1.098 127.685135511052 0
1.098 120.055673660491 0.2
1.098 126.176570919057 0.4
1.098 141.012197486816 0.6
1.098 100.325191438325 0.8
1.098 118.000903451046 1
1.098 116.584002964322 1.2
1.098 95.9561350090194 1.4
1.098 127.842239613432 1.6
1.098 107.064143839677 1.8
1.098 104.748524743412 2

1.107 137.40441144733 0
1.107 145.553843973078 0.2
1.107 112.838563625694 0.4
1.107 102.41700543934 0.6
1.107 141.266245946207 0.8
1.107 125.895101172586 1
1.107 142.435678702703 1.2
1.107 93.4066040311877 1.4
1.107 95.1530616930822 1.6
1.107 107.983868866797 1.8
1.107 106.330408339048 2

1.116 113.083872440621 0
1.116 125.171462066298 0.2
1.116 95.9393805407765 0.4
1.116 133.899818636919 0.6
1.116 96.2285858014865 0.8
1.116 104.755965805655 1
1.116 128.20107691644 1.2
1.116 117.47570258731 1.4
1.116 127.761589593037 1.6
1.116 105.379240339081 1.8
1.116 119.786259205173 2

1.125 123.655163185092 0
1.125 122.130641571418 0.2
1.125 121.326718255377 0.4
1.125 128.038730552857 0.6
1.125 95.5834520422097 0.8
1.125 110.694799139072 1
1.125 106.005682697327 1.2
1.125 131.405558831651 1.4
1.125 111.921544275787 1.6
1.125 120.156321907494 1.8
1.125 110.336800191859 2

1.134 134.650254072489 0
1.134 121.975096901582 0.2
1.134 112.012448780696 0.4
1.134 124.70054500926 0.6
1.134 129.492050872694 0.8
1.134 106.316826809429 1
1.134 114.71914409738 1.2
1.134 109.509873260744 1.4
1.134 118.478356543353 1.6
1.134 121.692330632945 1.8
1.134 87.2527156094587 2

1.143 137.816575345964 0
1.143 144.693991811653 0.2
1.143 129.571879311107 0.4
1.143 113.042073247708 0.6
1.143 110.815931938991 0.8
1.143 132.669753845354 1
1.143 123.08735373168 1.2
1.143 101.1353766977 1.4
1.143 121.948000800621 1.6
1.143 137.6371569763 1.8
1.143 129.677170595918 2

1.152 89.4214928805376 0
1.152 121.461048490531 0.2
1.152 113.12774020503 0.4
1.152 75.3900734171352 0.6
1.152 121.756927680796 0.8
1.152 140.726759975832 1
1.152 123.08709905182 1.2
1.152 118.141603247706 1.4
1.152 132.12531155687 1.6
1.152 132.859688781541 1.8
1.152 86.0592315544984 2

1.161 140.665560612817 0
1.161 129.13715513781 0.2
1.161 123.210074078303 0.4
1.161 119.17704980069 0.6
1.161 116.347892874662 0.8
1.161 127.454351706471 1
1.161 118.139234247647 1.2
1.161 94.1931596712258 1.4
1.161 136.071257120144 1.6
1.161 115.513130260884 1.8
1.161 135.205893077823 2

1.17 128.321937903661 0
1.17 134.199389314519 0.2
1.17 115.984969239963 0.4
1.17 125.885724726284 0.6
1.17 132.5126744911 0.8
1.17 138.423287601772 1
1.17 113.807199504876 1.2
1.17 111.147101853568 1.4
1.17 133.515550022344 1.6
1.17 127.912652479075 1.8
1.17 126.301948867575 2
