V1 V2 V3
1.089 80.0047960360691 0
1.089 80.0047995170343 0.2
1.089 80.0207618758842 0.4
1.089 80.009263308304 0.6
1.089 80.029912482285 0.8
1.089 80.039198908175 1
1.089 80.0258020207962 1.2
1.089 80.0216593960168 1.4
1.089 80.039369574445 1.6
1.089 80.0310573501232 1.8
1.089 80.0423229230283 2

1.098 122.362100590267 0
1.098 113.138149584744 0.2
1.098 106.944535613595 0.4
1.098 102.428391562791 0.6
1.098 99.4494926969312 0.8
1.098 96.9120855165837 1
1.098 95.0660856035353 1.2
1.098 93.6868992777989 1.4
1.098 92.0501091592573 1.6
1.098 91.0920012398628 1.8
1.098 89.9628696826785 2

1.107 122.128486554854 0
1.107 114.506971513162 0.2
1.107 108.706475690775 0.4
1.107 105.025940352729 0.6
1.107 101.728697165271 0.8
1.107 99.373022737382 1
1.107 97.1425484840107 1.2
1.107 95.1724958472787 1.4
1.107 94.3619540944761 1.6
1.107 93.0282195563491 1.8
1.107 92.3417043674977 2

1.116 122.324864472243 0
1.116 115.441299646244 0.2
1.116 110.518171462479 0.4
1.116 106.740069789794 0.6
1.116 103.440654861622 0.8
1.116 101.262571266929 1
1.116 99.6527196507733 1.2
1.116 97.7567676640771 1.4
1.116 96.5116467140523 1.6
1.116 95.3128952201468 1.8
1.116 94.1617231769182 2

1.125 122.052985335023 0
1.125 116.563400805351 0.2
1.125 111.935108687672 0.4
1.125 108.076466832126 0.6
1.125 105.374870201935 0.8
1.125 103.236675960165 1
1.125 101.120940284949 1.2
1.125 99.6182942627657 1.4
1.125 98.1913818011416 1.6
1.125 97.0176172708447 1.8
1.125 95.9625632108398 2

1.134 121.816121003302 0
1.134 117.467597031357 0.2
1.134 113.438851385362 0.4
1.134 109.769608558336 0.6
1.134 106.584971748263 0.8
1.134 104.49788066843 1
1.134 102.784188042206 1.2
1.134 101.159258529132 1.4
1.134 99.6678591456334 1.6
1.134 98.4024716063232 1.8
1.134 97.2863828818119 2

1.143 122.382790764041 0
1.143 117.913405061083 0.2
1.143 114.066375922912 0.4
1.143 111.11584306818 0.6
1.143 108.351279757591 0.8
1.143 105.796266093832 1
1.143 103.924399070164 1.2
1.143 102.37256100586 1.4
1.143 100.996903404898 1.6
1.143 99.8115455610324 1.8
1.143 98.6580122489389 2

1.152 122.182349681602 0
1.152 118.129641097489 0.2
1.152 114.3662158746 0.4
1.152 111.992776887107 0.6
1.152 108.91008546227 0.8
1.152 107.000639319375 1
1.152 104.962688266133 1.2
1.152 103.315368455694 1.4
1.152 101.838234423932 1.6
1.152 100.892041046641 1.8
1.152 99.4804377244111 2

1.161 121.707458758372 0
1.161 118.62571137425 0.2
1.161 114.805686175992 0.4
1.161 112.059873050465 0.6
1.161 110.096913891992 0.8
1.161 107.892001812562 1
1.161 106.16569735694 1.2
1.161 104.220452600943 1.4
1.161 103.276881775532 1.6
1.161 101.733814310714 1.8
1.161 100.991806952279 2

1.17 121.816461634047 0
1.17 118.755397819857 0.2
1.17 115.652307568301 0.4
1.17 112.893240240917 0.6
1.17 110.486169500242 0.8
1.17 108.487971779668 1
1.17 106.761833701908 1.2
1.17 105.614753439553 1.4
1.17 103.911087234555 1.6
1.17 102.367121532298 1.8
1.17 101.562887857307 2
