V1 V2 V3
1.08 136.804798221634 0.01
1.08 94.333710755363 0.014
1.08 102.501211298664 0.018
1.08 101.271164162827 0.022
1.08 109.137310900081 0.026
1.08 98.629924020593 0.03
1.08 106.409698698266 0.034
1.08 111.543702971784 0.038
1.08 122.247179276859 0.042
1.08 78.0082026827037 0.046
1.08 101.331195114669 0.05

1.089 121.003279472864 0.01
1.089 112.74017552375 0.014
1.089 103.969059085795 0.018
1.089 132.114962725636 0.022
1.089 128.642692319573 0.026
1.089 116.16007676352 0.03
1.089 116.101315891951 0.034
1.089 136.702264784376 0.038
1.089 104.623895157137 0.042
1.089 102.738109161925 0.046
1.089 98.2706941609566 0.05

1.098 120.142900619908 0.01
1.098 110.139131409477 0.014
1.098 114.989861080304 0.018
1.098 110.336981831296 0.022
1.098 122.490525885422 0.026
1.098 107.96756573472 0.03
1.098 124.719701211091 0.034
1.098 110.750911154889 0.038
1.098 126.440914654526 0.042
1.098 112.14736323094 0.046
1.098 72.3471565509241 0.05

1.107 127.998724875955 0.01
1.107 121.309833551469 0.014
1.107 115.124765380654 0.018
1.107 105.643373377387 0.022
1.107 114.258007309264 0.026
1.107 126.72493882505 0.03
1.107 132.606706381121 0.034
1.107 134.205074509202 0.038
1.107 85.8951460152515 0.042
1.107 130.485402254408 0.046
1.107 126.48025034705 0.05

1.116 107.756040300051 0.01
1.116 125.231015069591 0.014
1.116 113.535627197575 0.018
1.116 132.371939315578 0.022
1.116 108.673590601081 0.026
1.116 118.987749145725 0.03
1.116 125.317982670088 0.034
1.116 110.501212049133 0.038
1.116 133.05805531614 0.042
1.116 115.426941375883 0.046
1.116 101.262238222735 0.05

1.125 129.940463872007 0.01
1.125 113.09052729581 0.014
1.125 119.409515973768 0.018
1.125 130.211954949318 0.022
1.125 106.764545983479 0.026
1.125 120.275386233615 0.03
1.125 116.94045536763 0.034
1.125 122.502931550098 0.038
1.125 133.344712027118 0.042
1.125 123.575751629563 0.046
1.125 105.760898394423 0.05

1.134 110.148775176665 0.01
1.134 124.836855921563 0.014
1.134 119.411249808762 0.018
1.134 104.575603951822 0.022
1.134 122.153321779829 0.026
1.134 127.841286704228 0.03
1.134 112.025109402254 0.034
1.134 114.90716273719 0.038
1.134 124.71394251127 0.042
1.134 122.453576273756 0.046
1.134 120.864961671476 0.05

1.143 126.710939052723 0.01
1.143 132.274419909225 0.014
1.143 135.110408327979 0.018
1.143 135.897578764118 0.022
1.143 127.261160784925 0.026
1.143 133.086585307212 0.03
1.143 108.722102831375 0.034
1.143 124.100005189036 0.038
1.143 126.424052912056 0.042
1.143 105.320076588885 0.046
1.143 112.317014601095 0.05

1.152 112.080505019382 0.01
1.152 114.821663379494 0.014
1.152 116.595753995198 0.018
1.152 116.2226446393 0.022
1.152 104.80162014563 0.026
1.152 112.819022165172 0.03
1.152 139.925001387554 0.034
1.152 131.257493640304 0.038
1.152 110.527440571051 0.042
1.152 123.51152065682 0.046
1.152 145.843459971534 0.05

1.161 115.915899783794 0.01
1.161 112.645245605854 0.014
1.161 78.3229653716049 0.018
1.161 109.066289620687 0.022
1.161 116.36963003834 0.026
1.161 124.280040299161 0.03
1.161 110.042494270538 0.034
1.161 128.660745382014 0.038
1.161 111.193784588156 0.042
1.161 117.873625807123 0.046
1.161 132.411447007881 0.05

1.17 115.81830766568 0.01
1.17 120.490496286934 0.014
1.17 124.797907727868 0.018
1.17 112.087214071914 0.022
1.17 117.339383827729 0.026
1.17 105.77586204032 0.03
1.17 137.790216994179 0.034
1.17 108.643466316528 0.038
1.17 104.981588336136 0.042
1.17 143.06853998042 0.046
1.17 126.559801758611 0.05
