V1 V2 V3
1.08 80.0050230542958 0.01
1.08 80.0047634700706 0.014
1.08 80.0050004559406 0.018
1.08 80.00491301145 0.022
1.08 80.0049574854334 0.026
1.08 80.0048906128766 0.03
1.08 80.0046959722897 0.034
1.08 80.0049292532479 0.038
1.08 80.0049373091213 0.042
1.08 80.0050930865969 0.046
1.08 80.0047589324376 0.05

1.089 80.0049121474126 0.01
1.089 80.0050802553405 0.014
1.089 80.004563776162 0.018
1.089 80.0044344013936 0.022
1.089 80.0046986227229 0.026
1.089 80.0046409755931 0.03
1.089 80.0047937236232 0.034
1.089 80.0047515011241 0.038
1.089 80.00470543412 0.042
1.089 80.004921723524 0.046
1.089 80.0048194912824 0.05

1.098 82.3744629857737 0.01
1.098 111.759212661113 0.014
1.098 83.0039081935464 0.018
1.098 83.1911595850016 0.022
1.098 88.2794501682628 0.026
1.098 116.273736387457 0.03
1.098 80.3519909391004 0.034
1.098 90.0977235001754 0.038
1.098 82.3597465596751 0.042
1.098 129.779797320524 0.046
1.098 82.1337994409897 0.05

1.107 80.179261466714 0.01
1.107 109.205127055354 0.014
1.107 81.0189196568367 0.018
1.107 90.7079812820304 0.022
1.107 83.3765153953543 0.026
1.107 96.1155958946598 0.03
1.107 99.2037314287104 0.034
1.107 93.0414850474244 0.038
1.107 94.7404637240141 0.042
1.107 80.0932848578934 0.046
1.107 82.6156698991136 0.05

1.116 136.92118840112 0.01
1.116 86.5471793723461 0.014
1.116 81.719677271721 0.018
1.116 80.3621486233873 0.022
1.116 120.664607798814 0.026
1.116 93.3919893121635 0.03
1.116 97.1266393651843 0.034
1.116 86.7798349190347 0.038
1.116 81.3087084867521 0.042
1.116 88.4163585952241 0.046
1.116 91.1212937686516 0.05

1.125 100.494652775815 0.01
1.125 81.6840856434754 0.014
1.125 85.6715513841558 0.018
1.125 83.0615784950916 0.022
1.125 87.7718085695368 0.026
1.125 96.0302497051307 0.03
1.125 123.536950576605 0.034
1.125 83.1210500476474 0.038
1.125 108.316221098738 0.042
1.125 87.4817941786441 0.046
1.125 92.851701685068 0.05

1.134 89.4357286497907 0.01
1.134 87.783196646255 0.014
1.134 82.0017916900829 0.018
1.134 98.9693539495235 0.022
1.134 88.3688972206709 0.026
1.134 87.4051474444882 0.03
1.134 83.3264144508912 0.034
1.134 80.2235066915421 0.038
1.134 84.9298552454113 0.042
1.134 97.9970390615511 0.046
1.134 85.4421992896606 0.05

1.143 93.7110438545071 0.01
1.143 85.8660539225462 0.014
1.143 100.425073851972 0.018
1.143 90.406376095055 0.022
1.143 122.314371326992 0.026
1.143 100.230535754526 0.03
1.143 88.6682555948582 0.034
1.143 130.314098623876 0.038
1.143 89.8714381173127 0.042
1.143 100.348359600904 0.046
1.143 86.0506220659823 0.05

1.152 135.409099016379 0.01
1.152 88.3756080525129 0.014
1.152 103.018732923614 0.018
1.152 102.388168136682 0.022
1.152 92.8200643312483 0.026
1.152 110.949340288713 0.03
1.152 105.277915763794 0.034
1.152 104.79791186491 0.038
1.152 94.1683140732686 0.042
1.152 99.3996639386543 0.046
1.152 89.0424028063467 0.05

1.161 85.8349933434095 0.01
1.161 120.613603042345 0.014
1.161 101.501158627005 0.018
1.161 89.0001966140541 0.022
1.161 127.80571125965 0.026
1.161 99.4216333564653 0.03
1.161 106.727507532415 0.034
1.161 119.432764754211 0.038
1.161 98.8585860283893 0.042
1.161 89.0776270010367 0.046
1.161 106.611926435599 0.05

1.17 90.2969329927766 0.01
1.17 136.262927770306 0.014
1.17 83.5446439476031 0.018
1.17 104.815519982205 0.022
1.17 89.1802145809164 0.026
1.17 97.7129418281627 0.03
1.17 97.8513857478141 0.034
1.17 92.3848854486421 0.038
1.17 94.7644731474861 0.042
1.17 101.129043022392 0.046
1.17 95.5469308906206 0.05
