cocodate;cocoprice;shareprice;;;;;;;;
31.03.15;102.58;5,29;;;;;;;;
01.04.15;102.77;5,33;;;;;;;;
02.04.15;103.07;5,36;;;;;;;;
07.04.15;103.28;5,4;;;;;;;;
08.04.15;103.58;5,41;;;;;;;;
09.04.15;103.8;5,56;;;;;;;;
10.04.15;103.7;5,64;;;;;;;;
13.04.15;103.83;5,69;;;;;;;;
14.04.15;105.55;5,67;;;;;;;;
15.04.15;103.55;5,69;;;;;;;;
16.04.15;103.03;5,59;;;;;;;;
17.04.15;103.13;5,52;;;;;;;;
20.04.15;103.18;5,65;;;;;;;;
21.04.15;102.93;5,65;;;;;;;;
22.04.15;103.08;5,59;;;;;;;;
23.04.15;103.33;5,64;;;;;;;;
24.04.15;103.48;5,8;;;;;;;;
27.04.15;103.78;5,98;;;;;;;;
28.04.15;103.95;5,96;;;;;;;;
29.04.15;102.95;5,95;;;;;;;;
30.04.15;103.38;5,97;;;;;;;;
04.05.15;103.2;5,95;;;;;;;;
05.05.15;103.38;5,76;;;;;;;;
06.05.15;102.6;5,82;;;;;;;;
07.05.15;102.28;5,81;;;;;;;;
08.05.15;103.08;5,9;;;;;;;;
11.05.15;103.33;5,82;;;;;;;;
12.05.15;102.73;5,71;;;;;;;;
13.05.15;103.25;5,65;;;;;;;;
14.05.15;104.95;5,69;;;;;;;;
15.05.15;103.43;5,68;;;;;;;;
18.05.15;103.05;5,7;;;;;;;;
19.05.15;103.05;5,68;;;;;;;;
20.05.15;103.25;5,74;;;;;;;;
21.05.15;103.3;5,72;;;;;;;;
22.05.15;103.03;5,77;;;;;;;;
25.05.15;105.08;5,74;;;M;;;;;
26.05.15;103.15;5,74;;;;;;;;
27.05.15;103.03;5,82;;;;;;;;
28.05.15;102.75;5,8;;;;;;;;
29.05.15;102.9;5,79;;;;;;;;
01.06.15;102.69;5,81;;;;;;;;
02.06.15;102.7;5,81;;;;;;;;
03.06.15;102.85;5,82;;;;;;;;
04.06.15;102.55;5,76;;;;;;;;
05.06.15;102.1;5,76;;;;;;;;
08.06.15;102.55;5,76;;;;;;;;
09.06.15;101.7;5,71;;;;;;;;
10.06.15;101.25;5,71;;;;;;;;
11.06.15;101.78;5,69;;;;;;;;
12.06.15;101.65;5,65;;;;;;;;
15.06.15;100.25;5,58;;;;;;;;
16.06.15;100.65;5,54;;;;;;;;
17.06.15;100.85;5,5;;;;;;;;
18.06.15;100.6;5,47;;;;;;;;
19.06.15;100.86;5,5;;;;;;;;
22.06.15;101.95;5,6;;;;;;;;
23.06.15;102.45;5,59;;;;;;;;
24.06.15;102.45;5,6;;;;;;;;
25.06.15;102.15;5,53;;;;;;;;
26.06.15;102.3;5,49;;;;;;;;
29.06.15;100.75;5,37;;;;;;;;
30.06.15;100.69;5,3;;;;;;;;
01.07.15;101.45;5,31;;;;;;;;
02.07.15;101.5;5,38;;;;;;;;
03.07.15;101.5;5,33;;;;;;;;
07.07.15;101.05;5,2;;;;;;;;
08.07.15;100.1;5,2;;;;;;;;
09.07.15;100.5;5,25;;;;;;;;
10.07.15;101.15;5,26;;;;;;;;
13.07.15;101.9;5,35;;;;;;;;
14.07.15;101.7;5,33;;;;;;;;
15.07.15;101.55;5,33;;;;;;;;
16.07.15;102.00;5,41;;;;;;;;
17.07.15;103.85;5,4;;;;;;;;
20.07.15;102.1;5,46;;;;;;;;
21.07.15;102.00;5,46;;;;;;;;
22.07.15;101.7;5,37;;;;;;;;
23.07.15;101.7;5,39;;;;;;;;
24.07.15;101.5;5,3;;;;;;;;
27.07.15;101.03;5,25;;;;;;;;
30.07.15;101.05;5,37;;;;;;;;
31.07.15;100.95;5,39;;;;;;;;
03.08.15;100.85;5,41;;;;;;;;
04.08.15;100.6;5,42;;;;;;;;
05.08.15;100.8;5,53;;;;;;;;
06.08.15;101.1;5,49;;;;;;;;
07.08.15;100.55;5,47;;;;;;;;
10.08.15;102.35;5,43;;;;;;;;
11.08.15;100.25;5,37;;;;;;;;
12.08.15;99.95;5,24;;;;;;;;
13.08.15;99.9;5,28;;;;;;;;
14.08.15;99.8;5,25;;;;;;;;
17.08.15;99.85;5,25;;;;;;;;
18.08.15;99.75;5,23;;;;;;;;
19.08.15;99.6;5,09;;;;;;;;
20.08.15;99.25;5,04;;;;;;;;
21.08.15;98.75;4,9;;;;;;;;
24.08.15;97.05;4,59;;;;;;;;
25.08.15;98.2;4,77;;;;;;;;
26.08.15;98.35;4,67;;;;;;;;
27.08.15;99.35;4,89;;;;;;;;
28.08.15;99.5;4,88;;;;;;;;
31.08.15;101.3;4,7;;;;;;;;
01.09.15;101.3;4,69;;;;;;;;
02.09.15;99.13;4,77;;;;;;;;
03.09.15;99.4;4,64;;;;;;;;
04.09.15;98.96;4,65;;;;;;;;
07.09.15;99.21;4,74;;;;;;;;
08.09.15;99.1;4,88;;;;;;;;
09.09.15;99.71;4,75;;;;;;;;
10.09.15;99.51;4,75;;;;;;;;
11.09.15;99.65;4,71;;;;;;;;
14.09.15;99.71;4,79;;;;;;;;
15.09.15;99.16;4,83;;;;;;;;
16.09.15;99.76;4,73;;;;;;;;
17.09.15;99.51;4,62;;;;;;;;
18.09.15;99.76;4,66;;;;;;;;
21.09.15;99.56;4,59;;;;;;;;
22.09.15;99.21;4,69;;;;;;;;
23.09.15;98.03;4,59;;;;;;;;
24.09.15;97.26;4,74;;;;;;;;
25.09.15;98.23;4,6;;;;;;;;
28.09.15;97.03;4,57;;;;;;;;
29.09.15;96.00;4,69;;;;;;;;
30.09.15;95.48;4,73;;;;;;;;
01.10.15;96.13;4,78;;;;;;;;
02.10.15;95.9;4,91;;;;;;;;
05.10.15;96.06;4,91;;;;;;;;
06.10.15;96.85;4,98;;;;;;;;
07.10.15;97.86;4,98;;;;;;;;
08.10.15;96.98;5,01;;;;;;;;
09.10.15;97.66;5;;;;;;;;
12.10.15;97.85;4,9;;;;;;;;
13.10.15;97.78;4,85;;;;;;;;
14.10.15;97.53;4,88;;;;;;;;
15.10.15;97.53;4,9;;;;;;;;
16.10.15;97.73;4,87;;;;;;;;
19.10.15;98.03;4,85;;;;;;;;
20.10.15;98.35;4,83;;;;;;;;
21.10.15;98.85;4,82;;;;;;;;
22.10.15;98.23;4,94;;;;;;;;
23.10.15;98.87;4,89;;;;;;;;
26.10.15;99.16;4,88;;;;;;;;
27.10.15;99.53;4,91;;;;;;;;
28.10.15;100.08;4,89;;;;;;;;
29.10.15;99.86;4,84;;;;;;;;
30.10.15;100.01;4,8;;;;;;;;
02.11.15;99.86;4,81;;;;;;;;
03.11.15;100.26;4,95;;;;;;;;
04.11.15;100.65;4,93;;;;;;;;
05.11.15;100.56;5,03;;;;;;;;
06.11.15;100.26;5,03;;;;;;;;
09.11.15;100.33;4,99;;;;;;;;
10.11.15;100.06;4,99;;;;;;;;
11.11.15;100.31;4,97;;;;;;;;
12.11.15;100.35;4,89;;;;;;;;
13.11.15;99.76;4,87;;;;;;;;
16.11.15;99.48;4,95;;;;;;;;
17.11.15;99.86;4,96;;;;;;;;
18.11.15;100.16;5;;;;;;;;
19.11.15;100.36;5,06;;;;;;;;
20.11.15;100.56;5,1;;;;;;;;
23.11.15;100.13;5,05;;;;;;;;
24.11.15;99.78;5,09;;;;;;;;
25.11.15;99.65;5,15;;;;;;;;
26.11.15;100.26;5,1;;;;;;;;
27.11.15;99.66;5,05;;;;;;;;
30.11.15;99.85;5,14;;;;;;;;
01.12.15;100.15;5,15;;;;;;;;
02.12.15;100.35;5,02;;;;;;;;
03.12.15;100.1;4,99;;;;;;;;
04.12.15;99.65;4,97;;;;;;;;
07.12.15;99.98;4,88;;;;;;;;
08.12.15;100.18;4,88;;;;;;;;
10.12.15;100.28;4,87;;;;;;;;
11.12.15;99.4;4,75;;;;;;;;
14.12.15;98.1;4,71;;;;;;;;
15.12.15;98.78;4,88;;;;;;;;
16.12.15;98.86;4,96;;;;;;;;
17.12.15;99.85;5,07;;;;;;;;
18.12.15;99.26;5,04;;;;;;;;
21.12.15;99.26;5,02;;;;;;;;
22.12.15;99.4;5,05;;;;;;;;
23.12.15;99.4;5,16;;;;;;;;
28.12.15;101.73;5,16;;;;;;;;
30.12.15;100.00;5,19;;;;;;;;
04.01.16;99.9;5,13;;;;;;;;
05.01.16;99.9;5,11;;;;;;;;
06.01.16;99.96;4,96;;;;;;;;
07.01.16;99.15;4,98;;;;;;;;
08.01.16;99.5;4,84;;;;;;;;
11.01.16;99.65;4,78;;;;;;;;
12.01.16;99.15;4,76;;;;;;;;
13.01.16;98.78;4,74;;;;;;;;
14.01.16;97.9;4,81;;;;;;;;
15.01.16;97.1;4,81;;;;;;;;
18.01.16;96.85;4,78;;;;;;;;
19.01.16;96.81;4,63;;;;;;;;
20.01.16;95.85;4,57;;;;;;;;
21.01.16;95.66;4,66;;;;;;;;
22.01.16;96.75;4,44;;;;;;;;
25.01.16;97.00;4,49;;;;;;;;
26.01.16;96.53;4,57;;;;;;;;
27.01.16;96.5;4,51;;;;;;;;
28.01.16;96.91;4,52;;;;;;;;
29.01.16;96.75;4,58;;;;;;;;
01.02.16;96.75;4,55;;;;;;;;
02.02.16;95.65;4,69;;;;;;;;
03.02.16;94.15;4,62;;;;;;;;
04.02.16;94.15;4,46;;;;;;;;
05.02.16;93.65;4,28;;;;;;;;
08.02.16;89.9;4,38;;;;;;;;
09.02.16;87.75;4,36;;;;;;;;
10.02.16;87.9;4,18;;;;;;;;
11.02.16;84.9;4,12;;;;;;;;
12.02.16;85.5;4,21;;;;;;;;
15.02.16;88.65;4;;;;;;;;
16.02.16;91.5;4,2;;;;;;;;
17.02.16;92.9;4,25;;;;;;;;
18.02.16;93.75;4,27;;;;;;;;
19.02.16;91.85;4,36;;;;;;;;
22.02.16;92.15;4,28;;;;;;;;
23.02.16;91.65;4,29;;;;;;;;
24.02.16;90.28;4,25;;;;;;;;
25.02.16;90.35;4,21;;;;;;;;
26.02.16;92.35;4,13;;;;;;;;
29.02.16;91.88;4,28;;;;;;;;
01.03.16;92.65;4,45;;;;;;;;
02.03.16;94.4;4,38;;;;;;;;
03.03.16;95.03;4,39;;;;;;;;
04.03.16;95.6;4,49;;;;;;;;
07.03.16;95.4;4,43;;;;;;;;
08.03.16;95.38;4,46;;;;;;;;
09.03.16;94.53;4,43;;;;;;;;
10.03.16;95.65;4,42;;;;;;;;
11.03.16;97.25;4,43;;;;;;;;
14.03.16;97.53;4,38;;;;;;;;
15.03.16;96.02;4,44;;;;;;;;
16.03.16;95.45;4,45;;;;;;;;
17.03.16;95.6;4,46;;;;;;;;
18.03.16;95.5;4,5;;;;;;;;
21.03.16;95.71;4,42;;;;;;;;
22.03.16;95.9;4,42;;;;;;;;
23.03.16;95.23;4,42;;;;;;;;
24.03.16;95.31;4,41;;;;;;;;
29.03.16;95.1;4,41;;;;;;;;
30.03.16;95.35;4,31;;;;;;;;
31.03.16;94.65;4,26;;;;;;;;
01.04.16;94.78;4,3;;;;;;;;
04.04.16;94.78;4,27;;;;;;;;
05.04.16;95.09;4,25;;;;;;;;
06.04.16;94.88;4,24;;;;;;;;
07.04.16;94.53;4,11;;;;;;;;
08.04.16;94.6;4,13;;;;;;;;
11.04.16;94.13;4,1;;;;;;;;
12.04.16;93.65;4,11;;;;;;;;
13.04.16;94.03;4,12;;;;;;;;
14.04.16;95.15;4,13;;;;;;;;
15.04.16;96.38;4,41;;;;;;;;
18.04.16;96.4;4,44;;;;;;;;
19.04.16;96.78;4,43;;;;;;;;
20.04.16;96.65;4,41;;;;;;;;
