cocodate cocoprice shareprice
2015-03-31 102.58 5.29
2015-04-01 102.77 5.33
2015-04-02 103.07 5.36
2015-04-07 103.28 5.40
2015-04-08 103.58 5.41
2015-04-09 103.80 5.56
2015-04-10 103.70 5.64
2015-04-13 103.83 5.69
2015-04-14 105.55 5.67
2015-04-15 103.55 5.69
2015-04-16 103.03 5.59
2015-04-17 103.13 5.52
2015-04-20 103.18 5.65
2015-04-21 102.93 5.65
2015-04-22 103.08 5.59
2015-04-23 103.33 5.64
2015-04-24 103.48 5.80
2015-04-27 103.78 5.98
2015-04-28 103.95 5.96
2015-04-29 102.95 5.95
2015-04-30 103.38 5.97
2015-05-04 103.20 5.95
2015-05-05 103.38 5.76
2015-05-06 102.60 5.82
2015-05-07 102.28 5.81
2015-05-08 103.08 5.90
2015-05-11 103.33 5.82
2015-05-12 102.73 5.71
2015-05-13 103.25 5.65
2015-05-14 104.95 5.69
2015-05-15 103.43 5.68
2015-05-18 103.05 5.70
2015-05-19 103.05 5.68
2015-05-20 103.25 5.74
2015-05-21 103.30 5.72
2015-05-22 103.03 5.77
2015-05-25 105.08 5.74
2015-05-26 103.15 5.74
2015-05-27 103.03 5.82
2015-05-28 102.75 5.80
2015-05-29 102.90 5.79
2015-06-01 102.69 5.81
2015-06-02 102.70 5.81
2015-06-03 102.85 5.82
2015-06-04 102.55 5.76
2015-06-05 102.10 5.76
2015-06-08 102.55 5.76
2015-06-09 101.70 5.71
2015-06-10 101.25 5.71
2015-06-11 101.78 5.69
2015-06-12 101.65 5.65
2015-06-15 100.25 5.58
2015-06-16 100.65 5.54
2015-06-17 100.85 5.50
2015-06-18 100.60 5.47
2015-06-19 100.86 5.50
2015-06-22 101.95 5.60
2015-06-23 102.45 5.59
2015-06-24 102.45 5.60
2015-06-25 102.15 5.53
2015-06-26 102.30 5.49
2015-06-29 100.75 5.37
2015-06-30 100.69 5.30
2015-07-01 101.45 5.31
2015-07-02 101.50 5.38
2015-07-03 101.50 5.33
2015-07-07 101.05 5.20
2015-07-08 100.10 5.20
2015-07-09 100.50 5.25
2015-07-10 101.15 5.26
2015-07-13 101.90 5.35
2015-07-14 101.70 5.33
2015-07-15 101.55 5.33
2015-07-16 102.00 5.41
2015-07-17 103.85 5.40
2015-07-20 102.10 5.46
2015-07-21 102.00 5.46
2015-07-22 101.70 5.37
2015-07-23 101.70 5.39
2015-07-24 101.50 5.30
2015-07-27 101.03 5.25
2015-07-30 101.05 5.37
2015-07-31 100.95 5.39
2015-08-03 100.85 5.41
2015-08-04 100.6 5.42
2015-08-05 100.8 5.53
2015-08-06 101.1 5.49
2015-08-07 100.55 5.47
2015-08-10 102.35 5.43
2015-08-11 100.25 5.37
2015-08-12 99.95 5.24
2015-08-13 99.9 5.28
2015-08-14 99.8 5.25
2015-08-17 99.85 5.25
2015-08-18 99.75 5.23
2015-08-19 99.6 5.09
2015-08-20 99.25 5.04
2015-08-21 98.75 4.90
2015-08-24 97.05 4.59
2015-08-25 98.2 4.77
2015-08-26 98.35 4.67
2015-08-27 99.35 4.89
2015-08-28 99.5 4.88
2015-08-31 101.3 4.70
2015-09-01 101.3 4.69
2015-09-02 99.13 4.77
2015-09-03 99.4 4.64
2015-09-04 98.96 4.65
2015-09-07 99.21 4.74
2015-09-08 99.1 4.88
2015-09-09 99.71 4.75
2015-09-10 99.51 4.75
2015-09-11 99.65 4.71
2015-09-14 99.71 4.79
2015-09-15 99.16 4.83
2015-09-16 99.76 4.73
2015-09-17 99.51 4.62
2015-09-18 99.76 4.66
2015-09-21 99.56 4.59
2015-09-22 99.21 4.69
2015-09-23 98.03 4.59
2015-09-24 97.26 4.74
2015-09-25 98.23 4.60
2015-09-28 97.03 4.57
2015-09-29 96.00 4.69
2015-09-30 95.48 4.73
2015-10-01 96.13 4.78
2015-10-02 95.9 4.91
2015-10-05 96.06 4.91
2015-10-06 96.85 4.98
2015-10-07 97.86 4.98
2015-10-08 96.98 5.01
2015-10-09 97.66 5.00
2015-10-12 97.85 4.90
2015-10-13 97.78 4.85
2015-10-14 97.53 4.88
2015-10-15 97.53 4.90
2015-10-16 97.73 4.87
2015-10-19 98.03 4.85
2015-10-20 98.35 4.83
2015-10-21 98.85 4.82
2015-10-22 98.23 4.94
2015-10-23 98.87 4.89
2015-10-26 99.16 4.88
2015-10-27 99.53 4.91
2015-10-28 100.08 4.89
2015-10-29 99.86 4.84
2015-10-30 100.01 4.80
2015-11-02 99.86 4.81
2015-11-03 100.26 4.92
2015-11-04 100.65 4.91
2015-11-05 100.56 5.01
2015-11-06 100.26 5.02
2015-11-09 100.33 4.95
2015-11-10 100.06 4.93
2015-11-11 100.31 4.91
2015-11-12 100.35 4.82
2015-11-13 99.76 4.87
2015-11-16 99.48 4.95
2015-11-17 99.86 4.96
2015-11-18 100.16 5.00
2015-11-19 100.36 5.06
2015-11-20 100.56 5.10
2015-11-23 100.13 5.05
2015-11-24 99.78 5.09
2015-11-25 99.65 5.15
2015-11-26 100.26 5.10
2015-11-27 99.66 5.05
2015-11-30 99.85 5.14
2015-12-01 100.15 5.15
2015-12-02 100.35 5.02
2015-12-03 100.1 4.99
2015-12-04 99.65 4.97
2015-12-07 99.98 4.88
2015-12-08 100.18 4.88
2015-12-10 100.28 4.87
2015-12-11 99.4 4.75
2015-12-14 98.1 4.71
2015-12-15 98.78 4.88
2015-12-16 98.86 4.96
2015-12-17 99.85 5.07
2015-12-18 99.26 5.04
2015-12-21 99.26 5.02
2015-12-22 99.4 5.05
2015-12-23 99.4 5.16
2015-12-28 101.73 5.16
2015-12-30 100.00 5.19
2016-01-04 99.9 5.13
2016-01-05 99.9 5.11
2016-01-06 99.96 4.96
2016-01-07 99.15 4.98
2016-01-08 99.5 4.84
2016-01-11 99.65 4.78
2016-01-12 99.15 4.76
2016-01-13 98.78 4.74
2016-01-14 97.9 4.81
2016-01-15 97.1 4.81
2016-01-18 96.85 4.78
2016-01-19 96.81 4.63
2016-01-20 95.85 4.57
2016-01-21 95.66 4.66
2016-01-22 96.75 4.44
2016-01-25 97.00 4.49
2016-01-26 96.53 4.57
2016-01-27 96.5 4.51
2016-01-28 96.91 4.52
2016-01-29 96.75 4.58
2016-02-01 96.75 4.55
2016-02-02 95.65 4.69
2016-02-03 94.15 4.62
2016-02-04 94.15 4.46
2016-02-05 93.65 4.28
2016-02-08 89.9 4.38
2016-02-09 87.75 4.36
2016-02-10 87.9 4.18
2016-02-11 84.9 4.12
2016-02-12 85.5 4.21
2016-02-15 88.65 4.00
2016-02-16 91.5 4.20
2016-02-17 92.9 4.25
2016-02-18 93.75 4.27
2016-02-19 91.85 4.36
2016-02-22 92.15 4.28
2016-02-23 91.65 4.29
2016-02-24 90.28 4.25
2016-02-25 90.35 4.21
2016-02-26 92.35 4.13
2016-02-29 91.88 4.28
2016-03-01 92.65 4.45
2016-03-02 94.4 4.38
2016-03-03 95.03 4.39
2016-03-04 95.6 4.49
2016-03-07 95.4 4.43
2016-03-08 95.38 4.46
2016-03-09 94.53 4.43
2016-03-10 95.65 4.42
2016-03-11 97.25 4.43
2016-03-14 97.53 4.38
2016-03-15 96.02 4.44
2016-03-16 95.45 4.45
2016-03-17 95.6 4.46
2016-03-18 95.5 4.50
2016-03-21 95.71 4.42
2016-03-22 95.9 4.42
2016-03-23 95.23 4.42
2016-03-24 95.31 4.41
2016-03-29 95.1 4.41
2016-03-30 95.35 4.31
2016-03-31 94.65 4.26
2016-04-01 94.78 4.30
2016-04-04 94.78 4.27
2016-04-05 95.09 4.25
2016-04-06 94.88 4.24
2016-04-07 94.53 4.11
2016-04-08 94.6 4.13
2016-04-11 94.13 4.10
2016-04-12 93.65 4.11
2016-04-13 94.03 4.12
2016-04-14 95.15 4.13
2016-04-15 96.38 4.41
2016-04-18 96.4 4.44
2016-04-19 96.78 4.43
2016-04-20 96.65 4.41
2016-04-21 97.03 4.47
2016-04-22 97.4 4.58
2016-04-25 97.35 4.64
2016-04-26 96.85 4.59
2016-04-27 96.53 4.52
2016-04-28 96.73 4.62
2016-04-29 96.75 4.59
2016-05-02 98.85 4.60
2016-05-03 96.6 4.45
2016-05-04 95.78 4.38
2016-05-05 95.48 4.30
2016-05-06 94.53 4.30
2016-05-09 94.13 4.25
2016-05-10 94.4 4.23
2016-05-11 93.75 4.26
2016-05-12 93.75 4.24
2016-05-13 93.63 4.17
2016-05-16 93.79 4.23
2016-05-17 94.29 4.22
2016-05-18 95.1 4.28
2016-05-19 94.65 4.29
2016-05-20 94.73 4.27
2016-05-23 94.9 4.29
2016-05-24 94.4 4.27
2016-05-25 95.03 4.34
2016-05-26 96.06 4.46
2016-05-27 96.39 4.46
2016-05-30 98.23 4.48
2016-05-31 95.66 4.45
2016-06-01 94.93 4.45
2016-06-02 94.96 4.46
2016-06-03 94.95 4.45
2016-06-06 95.31 4.48
2016-06-07 95.6 4.47
2016-06-08 95.64 4.47
2016-06-09 95.51 4.44
2016-06-10 95.21 4.34
2016-06-13 94.93 4.31
2016-06-14 93.85 4.25
2016-06-15 94.27 4.26
2016-06-16 94.09 4.27
2016-06-17 94.65 4.31
2016-06-20 96.75 4.37
2016-06-21 96.25 4.40
2016-06-22 96.85 4.44
2016-06-23 97.16 4.54
2016-06-24 93.5 4.48
2016-06-27 92.85 4.38
2016-06-28 93.32 4.44
2016-06-29 95.4 4.53
2016-06-30 95.28 4.66
2016-07-01 95.95 4.70
2016-07-04 97.3 4.64
2016-07-05 96.1 4.65
2016-07-06 95.23 4.62
2016-07-07 95.63 4.64
2016-07-08 95.79 4.71
2016-07-11 96.94 4.79
2016-07-12 97.22 4.77
2016-07-13 97.51 4.75
2016-07-14 97.74 4.77
2016-07-15 98.13 4.79
2016-07-18 98.14 4.85
2016-07-19 97.86 4.87
2016-07-20 98.09 4.95
2016-07-21 98.52 4.93
2016-07-22 99.02 4.94
2016-07-25 98.92 4.90
2016-07-26 98.58 4.94
2016-07-27 98.98 4.98
2016-07-28 98.97 4.91
2016-07-29 99.36 4.95
2016-08-01 99.51 4.89
2016-08-02 98.28 4.83
2016-08-03 98.62 5.04
2016-08-04 99.3 5.17
2016-08-05 99.8 5.30
2016-08-08 99.91 5.37
2016-08-09 100.05 5.41
