Date;High
2016-07-27;99,25 
2016-07-26;98,25 
2016-07-25;98,875 
2016-07-22;99,10 
2016-07-21;98,63 
2016-07-19;97,75 
2016-07-18;98,25 
2016-07-14;97,375 
2016-07-13;97,25 
2016-07-12;97,10 
2016-07-11;99,00 
2016-07-08;96,00 
2016-07-07;97,00 
2016-07-06;95,625 
2016-07-05;96,75 
2016-07-01;97,515 
2016-06-30;95,25 
2016-06-29;95,00 
2016-06-28;94,00 
2016-06-27;94,00 
2016-06-24;97,25 
2016-06-23;97,375 
2016-06-22;97,50 
2016-06-21;97,95 
2016-06-20;98,20 
2016-06-16;96,525 
2016-06-15;96,78 
2016-06-14;95,625 
2016-06-13;96,90 
2016-06-10;96,00 
2016-06-09;96,175 
2016-06-08;96,00 
2016-06-07;96,00 
2016-06-03;95,75 
2016-06-02;95,25 
2016-06-01;96,325 
2016-05-31;96,50 
2016-05-27;96,50 
2016-05-26;96,25 
2016-05-25;96,95 
2016-05-24;95,45 
2016-05-23;94,782 
2016-05-20;94,75 
2016-05-19;96,00 
2016-05-18;95,0625 
2016-05-17;94,75 
2016-05-16;93,625 
2016-05-13;93,54 
2016-05-12;93,75 
2016-05-11;94,25 
2016-05-10;94,15 
2016-05-09;96,39 
2016-05-06;95,50 
2016-05-05;97,537 
2016-05-04;97,665 
2016-05-03;97,00 
2016-05-02;96,375 
2016-04-29;96,59 
2016-04-28;97,25 
2016-04-27;96,625 
2016-04-26;97,375 
2016-04-25;97,625 
2016-04-20;97,30 
2016-04-19;97,2813 
2016-04-18;96,60 
2016-04-15;98,50 
2016-04-14;95,75 
2016-04-13;95,00 
2016-04-12;94,25 
2016-04-08;94,50 
2016-04-07;94,75 
2016-04-06;94,95 
2016-04-05;94,9969 
2016-04-01;95,225 
2016-03-31;95,00 
2016-03-30;95,25 
2016-03-29;95,05 
2016-03-24;96,00 
2016-03-23;95,74 
2016-03-22;96,30 
2016-03-21;95,6219 
2016-03-18;96,15 
2016-03-17;96,25 
2016-03-16;95,2469 
2016-03-15;96,75 
2016-03-14;97,56 
2016-03-11;98,875 
2016-03-10;98,94 
2016-03-09;95,00 
2016-03-08;94,9969 
2016-03-07;95,625 
2016-03-04;96,125 
2016-03-03;96,25 
2016-03-02;96,00 
2016-03-01;93,77 
2016-02-29;92,00 
2016-02-26;91,75 
2016-02-25;90,50 
2016-02-24;90,50 
2016-02-23;93,00 
2016-02-22;93,00 
2016-02-19;93,99 
2016-02-18;94,25 
2016-02-17;94,025 
2016-02-16;92,40 
2016-02-12;85,75 
2016-02-11;88,30 
2016-02-10;91,25 
2016-02-09;90,50 
2016-02-08;90,50 
2016-02-05;94,375 
2016-02-04;94,25 
2016-02-03;95,75 
2016-02-02;96,75 
2016-02-01;96,50 
2016-01-29;96,4969 
2016-01-28;97,00 
2016-01-27;96,525 
2016-01-26;98,532 
2016-01-25;97,25 
2016-01-22;97,25 
2016-01-21;96,00 
2016-01-20;97,00 
2016-01-19;97,00 
2016-01-15;98,25 
2016-01-14;98,75 
2016-01-13;99,20 
2016-01-12;99,125 
2016-01-11;100,00 
2016-01-08;100,00 
2016-01-07;99,75 
2016-01-06;100,031 
2016-01-05;100,312 
2016-01-04;100,50 
2015-12-30;100,00 
2015-12-29;100,23 
2015-12-23;101,745 
2015-12-22;99,95 
2015-12-18;99,775 
2015-12-17;101,35 
2015-12-16;99,45 
2015-12-15;99,50 
2015-12-14;99,75 
2015-12-11;100,125 
2015-12-10;99,90 
2015-12-09;100,15 
2015-12-08;100,60 
2015-12-07;100,562 
2015-12-03;100,312 
2015-12-02;100,50 
2015-12-01;100,375 
2015-11-30;100,375 
2015-11-25;100,00 
2015-11-24;100,50 
2015-11-20;100,375 
2015-11-19;100,375 
2015-11-18;100,375 
2015-11-17;100,011 
2015-11-16;100,00 
2015-11-13;99,89 
2015-11-12;100,35 
2015-11-10;100,27 
2015-11-09;100,75 
2015-11-06;100,875 
2015-11-05;100,86 
2015-11-04;100,875 
2015-11-03;100,625 
2015-11-02;100,625 
2015-10-30;100,25 
2015-10-29;100,25 
2015-10-28;100,26 
2015-10-27;100,10 
2015-10-26;99,875 
2015-10-23;99,75 
2015-10-22;98,9344 
2015-10-21;98,75 
2015-10-20;98,625 
2015-10-19;98,525 
2015-10-16;99,50 
2015-10-15;98,00 
2015-10-14;97,625 
2015-10-13;98,50 
2015-10-09;98,175 
2015-10-08;97,475 
2015-10-07;97,625 
2015-10-06;96,50 
2015-10-05;96,50 
2015-10-02;95,75 
2015-10-01;96,00 
2015-09-30;96,125 
2015-09-29;95,3125 
2015-09-28;98,10 
2015-09-25;97,375 
2015-09-24;97,50 
2015-09-23;99,50 
2015-09-22;99,90 
2015-09-21;99,95 
2015-09-18;100,00 
2015-09-17;101,00 
2015-09-16;99,625 
2015-09-15;99,625 
2015-09-14;99,8349 
2015-09-11;99,75 
2015-09-10;99,75 
2015-09-09;99,875 
2015-09-08;99,625 
2015-09-04;99,50 
2015-09-03;99,60 
2015-09-01;99,50 
2015-08-31;99,875 
2015-08-28;99,65 
2015-08-27;99,75 
2015-08-26;98,75 
2015-08-25;100,00 
2015-08-24;98,00 
2015-08-21;99,625 
2015-08-20;99,75 
2015-08-19;100,62 
2015-08-18;100,125 
2015-08-17;99,99 
2015-08-14;100,125 
2015-08-13;100,125 
2015-08-12;100,75 
2015-08-11;100,50 
2015-08-10;101,25 
2015-08-07;100,875 
2015-08-06;101,00 
2015-08-05;100,90 
2015-08-04;102,25 
2015-08-03;102,00 
2015-07-31;101,00 
2015-07-30;100,50 
2015-07-29;101,00 
2015-07-28;102,50 
2015-07-27;100,88 
2015-07-24;102,55 
