date;shareprice
2016-08-09;540.80
2016-08-08;537.00

2016-08-05;530.40
2016-08-04;517.30
2016-08-03;504.40
2016-08-02;482.80
2016-08-01;489.05

2016-07-29;495.10
2016-07-28;490.90
2016-07-27;497.70
2016-07-26;494.00
2016-07-25;489.80

2016-07-22;493.60
2016-07-21;492.50
2016-07-20;495.15
2016-07-19;487.10
2016-07-18;484.80

2016-07-15;479.30
2016-07-14;476.70
2016-07-13;475.00
2016-07-12;476.70
2016-07-11;478.85

2016-07-08;470.80
2016-07-07;464.45
2016-07-06;461.80
2016-07-05;464.75
2016-07-04;463.75

2016-07-01;469.85
2016-06-30;465.90
2016-06-29;452.75
2016-06-28;443.60
2016-06-27;438.00

2016-06-24;447.95
2016-06-23;454.45
2016-06-22;444.00
2016-06-21;439.80
2016-06-20;437.35

2016-06-17;431.20
2016-06-16;426.50
2016-06-15;425.75
2016-06-14;425.40
2016-06-13;430.90

2016-06-10;433.75
2016-06-09;443.55
2016-06-08;446.70
2016-06-07;446.65
2016-06-06;448.35

2016-06-03;444.80
2016-06-02;446.15
2016-06-01;444.85
2016-05-31;445.05

2016-05-27;448.45
2016-05-26;445.95
2016-05-25;446.40
2016-05-24;434.25
2016-05-23;427.25

2016-05-20;429.25
2016-05-19;426.55
2016-05-18;428.655
2016-05-17;427.769
2016-05-16;422.06

2016-05-13;423.241
2016-05-12;416.893
2016-05-11;424.373
2016-05-10;426.194
2016-05-09;423.094

2016-05-06;424.964
2016-05-05;429.688
2016-05-04;429.787
2016-05-03;438.055

2016-04-29;445.388
2016-04-28;460.004
2016-04-27;459.266
2016-04-26;462.022
2016-04-25;452.327

2016-04-22;459.168
2016-04-21;464.483
2016-04-20;458.085
2016-04-19;446.913
2016-04-18;441.254

2016-04-15;443.419
2016-04-14;443.911
2016-04-13;441.057
2016-04-12;413.497
2016-04-11;411.676

2016-04-08;411.43
2016-04-07;409.609
2016-04-06;413.30
2016-04-05;410.938
2016-04-04;423.93

2016-04-01;425.21
2016-03-31;427.08
2016-03-30;430.181
2016-03-29;425.702
2016-03-28;

2016-03-24;431.411
2016-03-23;441.057
2016-03-22;440.86
2016-03-21;441.943

2016-03-18;441.746
2016-03-17;442.14
2016-03-16;450.014
2016-03-15;445.831
2016-03-14;445.437

2016-03-11;444.256
2016-03-10;438.498
2016-03-09;443.173
2016-03-08;441.746
2016-03-07;443.271

2016-03-04;446.421
2016-03-03;443.419
2016-03-02;449.491
2016-03-01;439.341
2016-02-29;438.102

2016-02-26;445.441
2016-02-25;427.76
2016-02-24;413.464
2016-02-23;420.612
2016-02-22;424.996

2016-02-19;428.761
2016-02-18;427.808
2016-02-17;435.528
2016-02-16;427.188
2016-02-15;425.473

2016-02-12;419.754
2016-02-11;400.453
2016-02-10;420.707
2016-02-09;412.224
2016-02-08;417.896

2016-02-05;436.386
2016-02-04;437.959
2016-02-03;428.38
2016-02-02;445.679
2016-02-01;461.691

2016-01-29;469.221
2016-01-28;455.258
2016-01-27;457.593
2016-01-26;452.256
2016-01-25;451.255

2016-01-22;457.069
2016-01-21;449.11
2016-01-20;443.963
2016-01-19;465.742
2016-01-18;457.212

2016-01-15;462.93
2016-01-14;478.466
2016-01-13;481.135
2016-01-12;481.421
2016-01-11;474.463

2016-01-08;475.702
2016-01-07;478.466
2016-01-06;484.471
2016-01-05;498.101
2016-01-04;496.004

2015-12-31;511.063
2015-12-30;512.588
2015-12-29;519.069
2015-12-28;

2015-12-24;515.924
2015-12-23;515.543
2015-12-22;504.772
2015-12-21;502.39

2015-12-18;504.391
2015-12-17;506.774
2015-12-16;496.385
2015-12-15;487.616
2015-12-14;470.984

2015-12-11;474.654
2015-12-10;486.854
2015-12-09;487.616
2015-12-08;487.616
2015-12-07;497.147

2015-12-04;498.768
2015-12-03;502.485
2015-12-02;515.161
2015-12-01;513.732
2015-11-30;504.677

2015-11-27;509.824
2015-11-26;514.685
2015-11-25;508.871
2015-11-24;505.249
2015-11-23;509.824

2015-11-20;506.202
2015-11-19;500.483
2015-11-18;496.385
2015-11-17;494.86
2015-11-16;487.33

2015-11-13;489.141
2015-11-12;496.576
2015-11-11;499.149
2015-11-10;498.863
2015-11-09;502.866

2015-11-06;503.057
2015-11-05;492.668
2015-11-04;494.765
2015-11-03;481.23
2015-11-02;479.896

2015-10-30;483.804
2015-10-29;488.76
2015-10-28;491.143
2015-10-27;487.521
2015-10-26;489.046

2015-10-23;493.716
2015-10-22;481.898
2015-10-21;482.587
2015-10-20;485.222
2015-10-19;486.822

2015-10-16;490.304
2015-10-15;488.422
2015-10-14;485.222
2015-10-13;489.834
2015-10-12;500.28

2015-10-09;500.844
2015-10-08;498.303
2015-10-07;497.551
2015-10-06;490.681
2015-10-05;490.587

2015-10-02;477.788
