test date coco ed cd
1 2016-06-30 70.928587385509 61.2365449108447 77.3623141530091
2 2016-06-29 70.2506840198181 56.2333587962531 72.891689144235
3 2016-06-28 70.5599759795826 52.5977506227461 68.8353318565441
4 2016-06-27 71.4720194647202 50.3062641905841 65.9817139812023
5 2016-06-24 71.3971074076793 54.3425727805499 70.8602342275485
6 2016-06-23 65.8028111907014 56.894529414691 73.5594499406919
7 2016-06-22 66.385238646422 52.7594607318525 69.0286894697768
8 2016-06-21 66.7689161554192 51.0484739342932 66.9282010820669
9 2016-06-20 66.8299986389002 50.0369074080153 65.6333521711266
10 2016-06-16 68.6326791808874 45.4327538041312 59.3551588668877
11 2016-06-15 68.1741335587489 45.1067511776733 58.8928410568829
12 2016-06-14 67.7518775683718 44.9542644029226 58.6760317791808
13 2016-06-13 67.8476403865005 47.3248349240925 61.999447413272
14 2016-06-10 66.9736291335287 48.5320659554477 63.6434024104055
15 2016-06-09 66.4880746629796 52.5775186430683 68.8110616156611
16 2016-06-08 65.9703133589884 53.8442750580708 70.2960598861775
17 2016-06-07 65.9340659340659 53.8242917024822 70.2731937936665
18 2016-06-03 65.9571536818902 53.0821059014932 69.4110960913427
19 2016-06-02 65.9306430400775 53.6242396154551 70.0432725669926
20 2016-06-01 66.8273900374636 53.1022370082988 69.4348049534038
21 2016-05-31 65.8703071672355 53.1827212753703 69.5294142848927
22 2016-05-27 65.8703071672355 54.5412020785694 71.0818624534324
23 2016-05-26 65.6996587030717 53.5441073426164 69.9506636669882
24 2016-05-25 66.1774744027304 53.7243153582844 70.1585194022874
25 2016-05-24 65.1535836177474 48.7424019694937 63.9257416469797
26 2016-05-23 64.6976109215017 45.7577316545005 59.8142815051211
27 2016-05-20 64.6757679180887 46.6193698085649 61.0221344213194
28 2016-05-19 65.5290102389078 45.4544508166969 59.3858677149136
29 2016-05-18 64.8890784982935 46.3637840199425 60.6653802145301
30 2016-05-17 64.6757679180887 45.9820192023204 60.1300641969011
31 2016-05-16 63.9078498293515 43.4877119962726 56.5756733016654
32 2016-05-13 63.8498293515358 44.008645288742 57.3245282735282
33 2016-05-12 63.9931740614334 41.177456673871 53.233916117602
34 2016-05-11 64.3344709897611 44.5055244425452 58.0360942726786
35 2016-05-10 64.2662116040956 45.2998687972211 59.1669125669558
36 2016-05-09 65.7952218430034 43.9439464112023 57.2316691397066
37 2016-05-06 65.1877133105802 44.7639948098145 58.4050293788148
38 2016-05-05 66.578156996587 46.8071108381626 61.2833094817168
39 2016-05-04 66.6655290102389 46.8494980532134 61.3421700491133
40 2016-05-03 66.2116040955631 50.3290232454441 66.011032437858
41 2016-05-02 65.7849829351536 50.3290232454441 66.011032437858
42 2016-04-29 65.9317406143345 53.3185938205646 69.6884802125125
43 2016-04-28 66.7421590831103 59.0244891759505 75.55321263797
44 2016-04-27 66.4683222122859 58.7440860823731 75.3047221768656
45 2016-04-26 66.7683763027976 59.7871952121457 76.2073629501958
46 2016-04-25 67.3275862068966 56.0681612237327 72.7213251621131
47 2016-04-20 67.5647524477467 58.2937076614448 74.8966553390079
48 2016-04-19 67.5470767948896 53.9293597123681 70.3932122407385
49 2016-04-18 67.6754939050021 51.644078334399 67.6727609993524
50 2016-04-15 69.473832698547 52.5244916348667 68.7473678601836
51 2016-04-14 67.7157001414427 52.7235026234456 68.9857912436904
52 2016-04-13 66.8684451326811 51.5635854945958 67.5729456196428
53 2016-04-12 66.3358671171171 39.6308128629484 50.9945839515678
54 2016-04-08 66.9927690344534 38.6781923640035 49.6215068731662
55 2016-04-07 67.2271888746985 37.8317713660325 48.4084102310219
56 2016-04-06 67.407354820389 39.540391270531 50.8639750251404
57 2016-04-05 67.2163730276657 38.4501720217206 49.2939737442011
58 2016-04-01 67.1307719421925 44.8713917220595 58.5580586986367
59 2016-03-31 68.2030296503697 45.6841595465765 59.7104996561024
60 2016-03-30 68.3825113073444 47.0180177880967 61.5757868680061
61 2016-03-29 68.2389259817647 45.0858519920038 58.8631466270036
62 2016-03-24 68.9209562782684 47.5423371626184 62.2984170960412
63 2016-03-23 68.7342953550147 51.5635854945958 67.5729456196428
64 2016-03-22 69.1363342666379 51.4830286794264 67.4727950116183
65 2016-03-21 68.6495082202599 51.925097044942 68.0192112308572
66 2016-03-18 69.0286452724532 51.8448272885766 67.92057576916
67 2016-03-17 69.100437935243 52.005303207295 68.1175072614511
68 2016-03-16 68.3802857347979 55.1599883212039 71.7601202653349
69 2016-03-15 69.4594012491923 53.4963983687318 69.8953880917536
70 2016-03-14 70.0409218177902 53.3382761284574 69.7114540030853
71 2016-03-11 70.9849953334769 52.8628194549749 69.1516860351281
72 2016-03-10 71.0316605642903 50.512151675132 66.246271757112
73 2016-03-09 68.2030296503697 52.4248389458942 68.6273468794028
74 2016-03-08 68.2008040778232 51.8448272885766 67.92057576916
75 2016-03-07 68.6517337928064 52.4645497609405 68.6752246145662
76 2016-03-04 69.0106971067557 53.7327171929558 70.1681740890024
77 2016-03-03 69.100437935243 52.5244916348667 68.7473678601836
78 2016-03-02 68.9209562782684 54.9534914472502 71.5358462466702
79 2016-03-01 67.3199798980544 50.8597247344032 66.689419534418
80 2016-02-29 66.0492497666738 50.3484678596525 66.0360667212935
81 2016-02-26 66.1881402395037 53.3398826777838 69.7133284513038
82 2016-02-25 64.8792028102373 45.9781339721936 60.124601903616
83 2016-02-24 64.9583692219351 39.6156715079507 50.9727096664582
84 2016-02-23 65.9340659340659 42.8454265754631 55.6491906873491
85 2016-02-22 65.7941280509374 44.7779714410881 58.4249537126757
86 2016-02-19 65.8839198093369 46.4093633873117 60.7290998534832
87 2016-02-18 65.6062926353891 45.9988535094592 60.1537284984522
