V1 V2 V3
70 143.085545242564 0.1
70 138.872777100603 0.12
70 134.022192996323 0.14
70 128.980233577308 0.16
70 123.992664103721 0.18
70 119.18055913228 0.2
70 114.596218649387 0.22
70 110.255811911336 0.24
70 106.157199710218 0.26
70 102.28945380807 0.28
70 98.6378922991574 0.3
70 95.1867113284813 0.32
70 91.9203261403747 0.34
70 88.8240174861343 0.36
70 85.8842050426898 0.38
70 83.088522942102 0.4
70 80.4257933632835 0.42
70 77.8859508771523 0.44
70 75.4599463355383 0.46
70 73.1396457806214 0.48
70 70.9177324034375 0.5

71.5 143.652736163238 0.1
71.5 139.716173358582 0.12
71.5 135.062839458058 0.14
71.5 130.147940623593 0.16
71.5 125.235464740994 0.18
71.5 120.462290404518 0.2
71.5 115.892270768936 0.22
71.5 111.549573039304 0.24
71.5 107.437506153583 0.26
71.5 103.548849580663 0.28
71.5 99.8714579275851 0.3
71.5 96.3912754896154 0.32
71.5 93.0939314410843 0.34
71.5 89.9655550547096 0.36
71.5 86.9931620196593 0.38
71.5 84.1648062095529 0.4
71.5 81.4696053142804 0.42
71.5 78.8977011002496 0.44
71.5 76.4401883529604 0.46
71.5 74.0890314420666 0.48
71.5 71.8369788404586 0.5

73 144.145229793603 0.1
73 140.475578467687 0.12
73 136.019980707049 0.14
73 131.236538854162 0.16
73 126.4046710386 0.18
73 121.675919287313 0.2
73 117.125283234844 0.22
73 112.784824933633 0.24
73 108.663316074917 0.26
73 104.757298342935 0.28
73 101.057225680275 0.3
73 97.5508496519212 0.32
73 94.2250649458595 0.34
73 91.0668928852925 0.36
73 88.0639813594742 0.38
73 85.2048338997243 0.4
73 82.4788884244943 0.42
73 79.8765143652879 0.44
73 77.3889674601694 0.46
73 75.0083246255297 0.48
73 72.7274115605084 0.5

74.5 144.57249246386 0.1
74.5 141.159216651558 0.12
74.5 136.900467430032 0.14
74.5 132.251789758638 0.16
74.5 127.505235532162 0.18
74.5 122.825796955233 0.2
74.5 118.299150285203 0.22
74.5 113.965104882862 0.24
74.5 109.837880097159 0.26
74.5 105.917814579776 0.28
74.5 102.198011129508 0.3
74.5 98.6680785729923 0.32
74.5 95.3162222980082 0.34
74.5 92.1303946256655 0.36
74.5 89.0989084827919 0.38
74.5 86.2107444757175 0.4
74.5 83.4556835706289 0.42
74.5 80.8243418666146 0.44
74.5 78.3081519213812 0.46
74.5 75.8993164998351 0.48
74.5 73.5907497311387 0.5

76 144.942864518367 0.1
76 141.774529584017 0.12
76 137.710568341873 0.14
76 133.198987102553 0.16
76 128.54171240516 0.18
76 123.915921946745 0.2
76 119.417446061895 0.22
76 115.093654791125 0.24
76 110.96417321585 0.26
76 107.0331535818 0.28
76 103.296384738885 0.3
76 99.7453742539127 0.32
76 96.369677407141 0.34
76 93.1582121601753 0.36
76 90.0999861611246 0.38
76 87.1844821539183 0.4
76 84.4018451818736 0.42
76 81.7429556309527 0.44
76 79.1994376599894 0.46
76 76.7636323199502 0.48
76 74.4285526766917 0.5

77.5 145.263680598684 0.1
77.5 142.328248537565 0.12
77.5 138.456023980471 0.14
77.5 134.083002549331 0.16
77.5 129.518298617045 0.18
77.5 124.949978308861 0.2
77.5 120.48346048952 0.22
77.5 116.173455186001 0.24
77.5 112.044927183323 0.26
77.5 108.105842378533 0.28
77.5 104.354701476009 0.3
77.5 100.784944335846 0.32
77.5 97.3875097165208 0.34
77.5 94.1523118221205 0.36
77.5 91.0690797390295 0.38
77.5 88.1278211932726 0.4
77.5 85.3190646474879 0.42
77.5 82.6339710894961 0.44
77.5 80.0643700371428 0.46
77.5 77.6027524503928 0.48
77.5 75.2422401817623 0.5

79 145.541379427738 0.1
79 142.826459779872 0.12
79 139.142094431595 0.14
79 134.908325427365 0.16
79 130.438869343083 0.18
79 125.931368229288 0.2
79 121.50022982676 0.22
79 117.207254086452 0.24
79 113.082657938488 0.26
79 109.138205897624 0.28
79 105.375125825037 0.3
79 101.788816063087 0.32
79 98.3716271961027 0.34
79 95.1144964837932 0.36
79 92.0078983789282 0.38
79 89.0423863455242 0.4
79 86.2088900174111 0.42
79 83.4988660691984 0.44
79 80.9043621701472 0.46
79 78.4180300439106 0.48
79 76.0331095605131 0.5

80.5 145.781603651425 0.1
80.5 143.274664004727 0.12
80.5 139.77360193365 0.14
80.5 135.679097652831 0.16
80.5 131.307008746627 0.18
80.5 126.863240163436 0.2
80.5 122.47056287341 0.22
80.5 118.197591685169 0.24
80.5 114.079689005733 0.26
80.5 110.132389242458 0.28
80.5 106.35965306081 0.3
80.5 102.758856644484 0.32
80.5 99.323785864365 0.34
80.5 96.0464242995967 0.36
80.5 92.9180130774326 0.38
80.5 89.9296701898591 0.4
80.5 87.0727426949825 0.42
80.5 84.3389968790059 0.44
80.5 81.7207104440917 0.46
80.5 79.2107060073967 0.48
80.5 76.8023501032417 0.5

82 145.989290303676 0.1
82 143.677830432399 0.12
82 140.35496910923 0.14
82 136.399144600258 0.16
82 132.126036883574 0.18
82 127.748513245775 0.2
82 123.397063603791 0.22
82 119.146821593421 0.24
82 115.038171586951 0.26
82 111.090376787836 0.28
82 107.310127460138 0.3
82 103.696790665381 0.32
82 100.245606468511 0.34
82 96.9496247100992 0.36
82 93.8008720402002 0.38
82 90.7910479190153 0.4
82 87.9119316697082 0.42
82 85.1556120206562 0.44
82 82.5146077287654 0.46
82 79.9819217502794 0.48
82 77.551055379297 0.5

83.5 146.168752475277 0.1
83.5 144.040446105671 0.12
83.5 140.890253419527 0.14
83.5 137.072002548817 0.16
83.5 132.899033372174 0.18
83.5 128.58989861029 0.2
83.5 124.282150836374 0.22
83.5 120.057129240339 0.24
83.5 115.96010191954 0.26
83.5 112.014008647195 0.28
83.5 108.228257984706 0.3
83.5 104.604215066021 0.32
83.5 101.138588821045 0.34
83.5 97.8255121878114 0.36
83.5 94.6578138795972 0.38
83.5 91.6277900253151 0.4
83.5 88.7276657233811 0.42
83.5 85.9498639428345 0.44
83.5 83.2871547057501 0.46
83.5 80.7327301069414 0.48
83.5 78.2802337751108 0.5

85 146.323752778137 0.1
85 144.366560828405 0.12
85 141.383178324342 0.14
85 137.700943207843 0.16
85 133.628858334437 0.18
85 129.389918119103 0.2
85 125.128075426523 0.22
85 120.930547899108 0.24
85 116.847336357504 0.26
85 112.904994953073 0.28
85 109.11563186199 0.3
85 105.482612097945 0.32
85 102.004124189966 0.34
85 98.6753981081613 0.36
85 95.4900790054386 0.38
85 92.4410732442437 0.4
85 89.5210639550649 0.42
85 86.7228191725984 0.44
85 84.0393696284895 0.46
85 81.4641047453156 0.48
85 78.9908175692741 0.5

86.5 146.457569201587 0.1
86.5 144.659828134147 0.12
86.5 141.837161544233 0.14
86.5 138.288995729661 0.16
86.5 134.31817101777 0.18
86.5 130.150920901369 0.2
86.5 125.936935374375 0.22
86.5 121.768972720279 0.24
86.5 117.701604543462 0.26
86.5 113.764928306027 0.28
86.5 109.973726407097 0.3
86.5 106.333360589322 0.32
86.5 102.843506061928 0.34
86.5 99.5005010539178 0.36
86.5 96.2988195064116 0.38
86.5 93.2319900429833 0.4
86.5 90.2931649025921 0.42
86.5 87.475467092379 0.44
86.5 84.7721967746887 0.46
86.5 82.1769483124328 0.48
86.5 79.6836707872059 0.5

88 146.573053954408 0.1
88 144.923542626907 0.12
88 142.255340754895 0.14
88 138.838966543913 0.16
88 134.96944642957 0.18
88 130.875098029198 0.2
88 126.710689166004 0.22
88 122.574173080578 0.24
88 118.524520969675 0.26
88 114.595294679904 0.28
88 110.803919363333 0.3
88 107.157745787242 0.32
88 103.657939537008 0.34
88 100.301955802666 0.36
88 97.0851077631334 0.38
88 94.0015568865741 0.4
88 91.0449344853211 0.42
88 88.2087275797137 0.44
88 85.4865138009358 0.46
88 82.8720995198506 0.48
88 80.3595960316695 0.5

89.5 146.672685875591 0.1
89.5 145.160674000411 0.12
89.5 142.640596992116 0.14
89.5 139.353457289738 0.16
89.5 135.584990258141 0.18
89.5 131.564495598141 0.2
89.5 127.451167608009 0.22
89.5 123.347803499119 0.24
89.5 119.317595171524 0.26
89.5 115.397483018402 0.28
89.5 111.607497988152 0.3
89.5 107.956967995616 0.32
89.5 104.448549565996 0.34
89.5 101.080821200847 0.36
89.5 97.84994398927 0.38
89.5 94.7507214713491 0.4
89.5 91.777272951317 0.42
89.5 88.9234576866713 0.44
89.5 86.1831381705661 0.46
