V1 V2 V3
20 147.296279048245 20
20 145.915531098876 21
20 144.672887864611 22
20 143.548661607265 23
20 142.526730003091 24
20 141.593765280676 25
20 140.738654789742 26
20 139.952059810274 27
20 139.226075639411 28
20 138.5539668614 29
20 137.929959109669 30
20 137.349073753528 31
20 136.806995539177 32
20 136.299965774167 33
20 135.824695488301 34
20 135.378294347661 35
20 134.958212088199 36
20 134.562189971746 37
20 134.188220320361 38
20 133.834512604038 39
20 133.499464876918 40

21.5 149.81658568525 20
21.5 148.091196068904 21
21.5 146.54195155942 22
21.5 145.143273718415 23
21.5 143.874294741361 24
21.5 142.717823205868 25
21.5 141.659570327621 26
21.5 140.687563382091 27
21.5 139.791695601718 28
21.5 138.963376941959 29
21.5 138.195260331044 30
21.5 137.481025056928 31
21.5 136.815203863945 32
21.5 136.193043816711 33
21.5 135.610393489241 34
21.5 135.063610852541 35
21.5 134.549487566257 36
21.5 134.06518636794 37
21.5 133.608188993115 38
21.5 133.176252618038 39
21.5 132.76737324271 40

23 153.053717735959 20
23 150.923116745787 21
23 149.014954860264 22
23 147.296279048245 23
23 145.740315467523 24
23 144.325090335964 25
23 143.032403443721 26
23 141.847053638154 27
23 140.756247107454 28
23 139.749140133917 29
23 138.816482033873 30
23 137.950333622714 31
23 137.14384323456 32
23 136.391067044738 33
23 135.686823814143 34
23 135.026576611825 35
23 134.406335854159 36
23 133.822579315518 37
23 133.272185747685 38
23 132.752379484846 39
23 132.260683972682 40

24.5 157.08853438168 20
24.5 154.481763733326 21
24.5 152.153819872641 22
24.5 150.062502830324 23
24.5 148.173678722493 24
24.5 146.459448054038 25
24.5 144.896789836233 26
24.5 143.466543703801 27
24.5 142.152635914219 28
24.5 140.941483848728 29
24.5 139.82153288273 30
24.5 138.782892605024 31
24.5 137.817048436116 32
24.5 136.916631061569 33
24.5 136.075230623009 34
24.5 135.28724586823 35
24.5 134.54776083477 36
24.5 133.85244338779 37
24.5 133.197461231354 38
24.5 132.579411986323 39
24.5 131.995264665461 40

26 162.015436195179 20
26 158.848629618164 21
26 156.029462476579 22
26 153.504112882299 23
26 151.229255655163 24
26 149.169635155106 25
26 147.296279048245 26
26 145.585164557072 27
26 144.016209330486 28
26 142.572498644079 29
26 141.239686983065 30
26 140.005529899133 31
26 138.859514306292 32
26 137.792563949917 33
26 136.796802847457 34
26 135.865363845076 35
26 134.992232585401 36
26 134.172119491181 37
26 133.400354079909 38
26 132.6727972031 39
26 131.985767768401 40

27.5 167.946300742523 20
27.5 164.119553217321 21
27.5 160.724641893494 22
27.5 157.693095858267 23
27.5 154.970081245742 24
27.5 152.511188216212 25
27.5 150.280080888498 26
27.5 148.246752545038 27
27.5 146.386212456977 28
27.5 144.677485178391 29
27.5 143.102839199521 30
27.5 141.647186106894 31
27.5 140.297607993091 32
27.5 139.042982382819 33
27.5 137.873682055993 34
27.5 136.781332935647 35
27.5 135.758617385585 36
27.5 134.799113311402 37
27.5 133.897161707052 38
27.5 133.047756963705 39
27.5 132.246455516226 40

29 175.015051673545 20
29 170.408507923122 21
29 166.337147490581 22
29 162.713974447242 23
29 159.469700507308 24
29 156.548491515911 25
29 153.904876387431 26
29 151.501465851539 27
29 149.307245037108 28
29 147.296279048245 29
29 145.446720026689 30
29 143.740037193352 31
29 142.160413801758 32
29 140.694270431957 33
29 139.32988490694 34
29 138.057086816016 35
29 136.867010163218 36
29 135.75189167967 37
29 134.704905291931 38
29 133.720025428786 39
29 132.791913489113 40

30.5 183.38313028486 20
30.5 177.852068576486 21
30.5 172.983497194287 22
30.5 168.666909963327 23
30.5 164.814803399985 24
30.5 161.357040748739 25
30.5 158.236783883098 26
30.5 155.407509720014 27
30.5 152.830790088182 28
30.5 150.474617697906 29
30.5 148.312128493193 30
30.5 146.320615601971 31
30.5 144.480760469098 32
30.5 142.77602760643 33
30.5 141.192183917852 34
30.5 139.716913811346 35
30.5 138.339508641052 36
30.5 137.050614324756 37
30.5 135.842024859426 38
30.5 134.706512321577 39
30.5 133.63768607524 40

32 193.246198809233 20
32 186.614813966431 21
32 180.803352187313 22
32 175.671356253073 23
32 171.108285287981 24
32 167.026035200626 25
32 163.353577791933 26
32 160.033054611991 27
32 157.016887918749 28
32 154.265614553489 29
32 151.746241426006 30
32 149.430982590316 31
32 147.296279048245 32
32 145.322030504843 33
32 143.4909877541 34
32 141.788268035974 35
32 140.200965424162 36
32 138.717835299995 37
32 137.329037060193 38
32 136.025922951903 39
32 134.800863710431 40

33.5 204.84249064321 20
33.5 196.895983564593 21
33.5 189.964896971516 22
33.5 183.870463080346 23
33.5 178.472893206441 24
33.5 173.661430041731 25
33.5 169.347269829247 26
33.5 165.458440108154 27
33.5 161.936035051919 28
33.5 158.731409379335 29
33.5 155.804059656476 30
33.5 153.120005572905 31
33.5 150.650539656107 32
33.5 148.371251787215 33
33.5 146.261260979784 34
33.5 144.30260511115 35
33.5 142.47975219458 36
33.5 140.779206019907 37
33.5 139.189185684566 38
33.5 137.699363438923 39
33.5 136.300648895359 40

35 218.463343240757 20
35 208.937793678228 21
35 200.671496849949 22
35 193.436473401628 23
35 187.055652420705 24
35 181.389605813941 25
35 176.32718135354 26
35 171.778771389156 27
35 167.671397909741 28
35 163.945071364019 29
35 160.550057080089 30
35 157.444797894519 31
35 154.59431764659 32
35 151.968981440221 33
35 149.54352365491 34
35 147.296279048245 35
35 145.2085694392 36
35 143.264210681664 37
35 141.449113448916 38
35 139.750957772554 39
35 138.158926009115 40

36.5 234.466616886906 20
36.5 223.035938424858 21
36.5 213.170032463104 22
36.5 204.577423553175 23
36.5 197.033315917365 24
36.5 190.361848381125 25
36.5 184.423662873023 26
36.5 179.107035903616 27
36.5 174.321446900333 28
36.5 169.992843423688 29
36.5 166.060107527223 30
36.5 162.472385219386 31
36.5 159.187044744812 32
36.5 156.168098867912 33
36.5 153.384973597978 34
36.5 150.811538422324 35
36.5 148.425335952336 36
36.5 146.206965079181 37
36.5 144.139583353214 38
36.5 142.208502729463 39
36.5 140.400859000503 40

38 253.293934720815 20
38 239.552966933571 21
38 227.761431693797 22
38 217.545544373014 23
38 208.619145925346 24
38 200.759882764538 25
38 193.79265493971 26
38 187.577897115249 27
38 182.003139130297 28
38 176.97683368659 29
38 172.423777951288 30
38 168.281673221475 31
38 164.498508788952 32
38 161.030550565991 33
38 157.840778859698 34
38 154.897663487339 35
38 152.174194914033 36
38 149.647111594514 37
38 147.296279048245 38
38 145.104187278099 39
38 143.055541229096 40

39.5 275.493001651737 20
39.5 258.935457294374 21
39.5 244.814085077934 22
39.5 232.647883198831 23
39.5 222.071427454307 24
39.5 212.802772872444 25
39.5 204.621336965641 26
39.5 197.352362483462 27
39.5 190.855809197189 28
39.5 185.018284506545 29
39.5 179.747095574928 30
39.5 174.965806331268 31
39.5 170.610877621496 32
39.5 166.629097531457 33
39.5 162.975595361303 34
39.5 159.612291703719 35
39.5 156.506677886214 36
39.5 153.630846656507 37
39.5 150.960716312425 38
39.5 148.475405077815 39
39.5 146.156723130027 40

41 301.746709032142 20
41 281.736224908054 21
41 264.781059022397 22
41 250.25983362258 23
41 237.704237822255 24
41 226.755592448823 25
41 217.135181564866 26
41 208.6235775283 27
41 201.045970003687 28
41 194.261582623753 29
41 188.155922870813 30
41 182.635028105114 31
41 177.621139258651 32
41 173.04940982897 33
41 168.86537529342 34
41 165.022987695549 35
41 161.483074930816 36
41 158.212122456417 37
41 155.181302129357 38
41 152.365692160897 39
41 149.743646113715 40

42.5 332.91136177085 20
42.5 308.643244025139 21
42.5 288.222336323139 22
42.5 270.842489116678 23
42.5 255.901165526401 24
42.5 242.940399513511 25
42.5 231.606828388809 26
42.5 221.624071820601 27
42.5 212.77328293164 28
42.5 204.879219026065 29
42.5 197.800109720823 30
42.5 191.42018198093 31
42.5 185.644073027024 32
42.5 180.392603884028 33
42.5 175.599546538398 34
42.5 171.20912555167 35
42.5 167.174068731566 36
42.5 163.454072596637 37
42.5 160.01458428903 38
42.5 156.825827129706 39
42.5 153.862015378573 40

44 370.067253732242 20
44 340.51757878379 21
44 315.833751355724 22
44 294.965052960015 23
44 277.132904140928 24
44 261.750219781975 25
44 248.367322318873 26
44 236.634882866545 27
44 226.278034155142 28
44 217.077967557953 29
44 208.85863978084 30
44 201.477029076273 31
44 194.815896689124 32
44 188.778342513061 33
44 183.283663185752 34
44 178.26416751868 35
44 173.662703800468 36
44 169.430722187332 37
44 165.526743362227 38
44 161.915138569358 39
44 158.565150405424 40

45.5 414.586082314484 20
45.5 378.443490792768 21
45.5 348.48489976308 22
45.5 323.333976088554 23
45.5 301.979967392052 24
45.5 283.666982070997 25
45.5 267.820439425067 26
45.5 253.997119800056 27
45.5 241.850558591211 28
45.5 231.10663284933 29
45.5 221.546052160962 30
45.5 212.991610501209 31
45.5 205.298775199202 32
45.5 198.348650406973 33
45.5 192.042653719067 34
45.5 186.298444747566 35
45.5 181.046779567225 36
45.5 176.22905749811 37
45.5 171.795390966707 38
45.5 167.703074394619 39
45.5 163.915360243589 40

47 468.2215080497 20
47 423.795127916332 21
47 387.269165604091 22
47 356.831108696313 23
47 331.162216580769 24
47 309.284676426076 25
47 290.461069032053 26
47 274.126714313502 27
47 259.843195221801 28
47 247.26582840571 29
47 236.120505891142 30
47 226.186949925426 31
47 217.286431157378 32
47 209.272641516782 33
47 202.024828844431 34
47 195.442574585938 35
47 189.441779776071 36
47 183.95154973941 37
47 178.911754364208 38
47 174.271101258279 39
47 169.985601896177 40

48.5 533.231792265238 20
48.5 478.325973101462 21
48.5 433.570235397083 22
48.5 396.564017141482 23
48.5 365.577514174144 24
48.5 339.339461159637 25
48.5 316.898958521419 26
48.5 297.533361035811 27
48.5 280.685551851537 28
48.5 265.920395651521 29
48.5 252.893971581493 30
48.5 241.331484226944 31
48.5 231.011170200158 32
48.5 221.752413410148 33
48.5 213.406858251964 34
48.5 205.851687376961 35
48.5 198.984482089863 36
48.5 192.719253454938 37
48.5 186.983348867436 38
48.5 181.715019981175 39
48.5 176.86149501299 40

50 612.547284805088 20
50 544.289798704651 21
50 489.151226595693 22
50 443.93284835556 23
50 406.352695716722 24
50 374.749082945567 25
50 347.889598270878 26
50 324.845002009617 27
50 304.904124710884 28
50 287.515279965304 29
50 272.245194005594 30
50 258.749734977794 31
50 246.752733444925 32
50 236.03044260702 33
50 226.399989126386 34
50 217.710687223644 35
50 209.837433834699 36
50 202.675634532631 37
50 196.137268062426 38
50 190.147806661205 39
50 184.643785884025 40
