V1 V2 V3
1 104.903002187651 0.01
1 104.694335530697 0.012
1 104.486065060004 0.014
1 104.278190409012 0.016
1 104.070711204085 0.018
1 103.863627064644 0.02
1 103.656937603305 0.022
1 103.450642426009 0.024
1 103.244741132158 0.026
1 103.039233314742 0.028
1 102.834118560466 0.03
1 102.629396449881 0.032
1 102.425066557506 0.034
1 102.221128451951 0.036
1 102.017581696038 0.038
1 101.814425846925 0.04
1 101.61166045622 0.042
1 101.409285070098 0.044
1 101.20729922942 0.046
1 101.005702469842 0.048
1 100.804494321929 0.05

3.45 108.736616496864 0.01
3.45 108.152622108307 0.012
3.45 107.569935199005 0.014
3.45 106.988592907476 0.016
3.45 106.408631624927 0.018
3.45 105.830086997697 0.02
3.45 105.252993929923 0.022
3.45 104.677386586406 0.024
3.45 104.103298395681 0.026
3.45 103.530762053285 0.028
3.45 102.959809525221 0.03
3.45 102.390472051612 0.032
3.45 101.822780150537 0.034
3.45 101.256763622048 0.036
3.45 100.69245155237 0.038
3.45 100.129872318264 0.04
3.45 99.5690535915662 0.042
3.45 99.010022343878 0.044
3.45 98.4528048514282 0.046
3.45 97.8974267000789 0.048
3.45 97.3439127904848 0.05

5.9 108.794137022145 0.01
5.9 107.971095775238 0.012
5.9 107.149928286224 0.014
5.9 106.330744735424 0.016
5.9 105.513653001691 0.018
5.9 104.698758657586 0.02
5.9 103.886164965852 0.022
5.9 103.075972877163 0.024
5.9 102.268281029134 0.026
5.9 101.463185746566 0.028
5.9 100.660781042907 0.03
5.9 99.8611586229035 0.032
5.9 99.0644078864295 0.034
5.9 98.2706159334559 0.036
5.9 97.4798675701488 0.038
5.9 96.6922453160665 0.04
5.9 95.9078294124329 0.042
5.9 95.1266978314621 0.044
5.9 94.3489262867083 0.046
5.9 93.5745882444177 0.048
5.9 92.8037549358534 0.05

8.35 113.57540244818 0.01
8.35 112.502161967798 0.012
8.35 111.432274297523 0.014
8.35 110.365940217763 0.016
8.35 109.303355480811 0.018
8.35 108.244710797801 0.02
8.35 107.190191829586 0.022
8.35 106.139979181432 0.024
8.35 105.094248401489 0.026
8.35 104.053169982937 0.028
8.35 103.016909369755 0.03
8.35 101.98562696601 0.032
8.35 100.959478148603 0.034
8.35 99.9386132833825 0.036
8.35 98.9231777445367 0.038
8.35 97.9133119371867 0.04
8.35 96.9091513230838 0.042
8.35 95.9108264493272 0.044
8.35 94.9184629800099 0.046
8.35 93.9321817307002 0.048
8.35 92.9520987056677 0.05

10.8 114.231190439918 0.01
10.8 112.965439924031 0.012
10.8 111.705278899175 0.014
